bleached_k4_01	bleached_k4_02	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
TRINITY_GG_21837_c0_g1	-0.953999402609062	-0.953999402609062	-0.953999402609062	0.478425574195702	1.53682741230377	0.846745221327715
TRINITY_GG_99582_c109_g1	-0.978799625799834	-0.978799625799834	-0.978799625799834	1.50714235761259	1.42037146801999	0.008885051766927
TRINITY_GG_43793_c0_g2	2.16381486676748	2.08898071712454	1.6096037595508	-1.77159028475625	-2.04540452934328	-2.04540452934328
TRINITY_GG_84581_c1_g1	-2.08623484303981	-2.08623484303981	-2.08623484303981	1.94171537339003	2.11265214791712	2.20433700781227
TRINITY_GG_78364_c0_g1	-1.08601944059261	-1.08601944059261	-1.08601944059261	2.47628404879285	0.0845466161994619	0.69722765678551
TRINITY_GG_12575_c43_g3	-0.872129272420228	-0.872129272420228	-0.872129272420228	0.924053138299776	1.07235439872852	0.619980280232384
TRINITY_GG_99853_c385_g1	-0.948067689675726	-0.948067689675726	-0.948067689675726	0.782680939740487	0.603325278351729	1.45819685093496
TRINITY_GG_45368_c0_g1	1.85639550250772	2.62598989288857	-0.866243310159384	-1.20538069507897	-1.20538069507897	-1.20538069507897
TRINITY_GG_38341_c1_g1	-1.09872736131577	-1.09872736131577	-1.09872736131577	1.47464716513018	0.990092671982816	0.831442246834313
TRINITY_GG_100724_c0_g2	-0.903911235712089	-0.903911235712089	-0.903911235712089	0.478479347161381	0.849693300567907	1.38356105940698
TRINITY_GG_35285_c0_g1	-2.17969276911314	-2.33370939399583	-2.43670338731916	3.69741485124614	1.56887625238069	1.68381444680131
TRINITY_GG_57798_c0_g1	-1.18297990390449	-1.18297990390449	-1.18297990390449	1.15615748101509	1.03796910056228	1.35481313013611
TRINITY_GG_69608_c0_g1	1.62530980753214	1.46028681625727	0.487088247193367	-1.22968320922486	-1.22968320922486	-1.11331845253307
TRINITY_GG_11081_c119_g1	0.667061092913919	0.885601537421358	1.4272971966502	-0.993319942328492	-0.993319942328492	-0.993319942328492
TRINITY_GG_24169_c25_g1	-0.925044010251625	-0.925044010251625	-0.925044010251625	0.9416661894224	0.205886859574823	1.62757898175765
TRINITY_GG_14467_c0_g1	-2.18809288507905	-2.18809288507905	-2.18809288507905	1.77759906414565	2.01416809848295	2.77251149260855
TRINITY_GG_61230_c0_g1	-0.924705825957368	-0.924705825957368	-0.924705825957368	1.4415464377422	0.198960370496452	1.13361066963346
TRINITY_GG_71933_c81_g5	-1.29208072890952	-1.29208072890952	-1.29208072890952	0.63808887924056	1.78413629270753	1.45401701478048
TRINITY_GG_11545_c1_g1	1.36621208555563	1.26283003775841	0.836227786846641	-1.15508997005356	-1.15508997005356	-1.15508997005356
TRINITY_GG_15745_c0_g3	0.990217395969894	1.97975078634126	0.565305736455683	-1.17842463958895	-1.17842463958895	-1.17842463958895
TRINITY_GG_4302_c1_g1	0.619500337744214	0.543973902069477	2.73776101298559	-1.30041175093309	-1.30041175093309	-1.30041175093309
TRINITY_GG_48014_c0_g2	1.26730755731773	0.645090940766116	1.53214364311205	-1.14818071373197	-1.14818071373197	-1.14818071373197
TRINITY_GG_77808_c10_g1	-2.89184220326911	-2.73738861058923	-2.74128252669372	3.21561551941983	2.76745446355479	2.38744335757744
TRINITY_GG_48518_c1_g1	-1.20114036306888	-1.20114036306888	-1.20114036306888	1.80677271857438	0.614844864132161	1.18180350650011
TRINITY_GG_47002_c0_g1	0.974585451680359	1.07503401257843	0.913715975220984	-0.987778479826591	-0.987778479826591	-0.987778479826591
TRINITY_GG_70395_c1_g1	-1.2117333782582	-1.2117333782582	-1.2117333782582	1.50350107698182	1.82389053147253	0.307808526320241
TRINITY_GG_21688_c1_g2	0.731947653286437	0.470550580629821	1.08567364116708	-0.762723958361113	-0.762723958361113	-0.762723958361113
TRINITY_GG_46795_c1_g1	-1.00349203731246	-1.00349203731246	-1.00349203731246	1.25833962143968	1.40004838043279	0.352088110064901
TRINITY_GG_88681_c118_g1	-0.874687502078133	-0.874687502078133	-0.874687502078133	0.479764658501429	0.881481826061166	1.2628160216718
TRINITY_GG_39320_c1_g1	2.04631986526012	0.842577386984253	-0.172534026479901	-0.905454408588159	-0.905454408588159	-0.905454408588159
TRINITY_GG_89026_c0_g1	-0.93092243309985	-0.93092243309985	-0.93092243309985	-0.173899186592391	1.50417271852025	1.46249376737169
TRINITY_GG_73739_c16_g2	-1.07613090035467	-1.07613090035467	-1.07613090035467	0.763828687134862	0.574633658762232	1.88993035516692
TRINITY_GG_37863_c4_g1	-1.23859397340487	-1.23859397340487	-1.23859397340487	1.10878821791025	0.918449736740714	1.68854396556364
TRINITY_GG_84691_c1_g3	-0.598674866299513	2.41326541923844	1.66064361925857	-1.1584113907325	-1.1584113907325	-1.1584113907325
TRINITY_GG_53451_c0_g1	0.470742409088881	2.11543342828211	0.180197684054768	-0.922124507141919	-0.922124507141919	-0.922124507141919
TRINITY_GG_59312_c0_g1	1.39530270135268	2.56950219655538	-0.484000668277599	-1.16026807654349	-1.16026807654349	-1.16026807654349
TRINITY_GG_46785_c0_g1	0.183558712989911	0.567080665558038	1.67698977478909	-0.809209717779013	-0.809209717779013	-0.809209717779013
TRINITY_GG_67901_c0_g1	2.41982761789704	2.12071702859586	1.8070117234111	-2.11585212330133	-2.11585212330133	-2.11585212330133
TRINITY_GG_100187_c11_g1	-0.950307322784841	-0.950307322784841	-0.950307322784841	-0.364383345826239	1.37421528881097	1.84109002536979
TRINITY_GG_17244_c16_g1	-1.33813276189207	-1.21248166023055	-1.33813276189207	1.35852881102651	1.40839499522612	1.12182337776206
TRINITY_GG_54534_c0_g1	1.10024288042023	0.603862722615334	2.02709453590636	-1.24373337964731	-1.24373337964731	-1.24373337964731
TRINITY_GG_81806_c4_g1	0.90095639391414	2.30721010800604	-0.313279240005963	-0.964962420638072	-0.964962420638072	-0.964962420638072
TRINITY_GG_73603_c70_g1	-1.23485528835726	-1.23485528835726	-1.23485528835726	0.45041211815958	1.81093713015683	1.44321661675538
TRINITY_GG_26957_c0_g1	1.3489744449963	1.14630708897624	0.506740190768447	-1.00067390824699	-1.00067390824699	-1.00067390824699
TRINITY_GG_97668_c38_g1	-1.06542916573781	-1.06542916573781	-1.06542916573781	1.12708065320414	1.01727342359244	1.05193342041685
TRINITY_GG_10371_c0_g1	-1.09620172409342	-1.09620172409342	-1.09620172409342	1.6801128610228	1.54441920394228	0.064073107315175
TRINITY_GG_49537_c1_g1	-1.0346216312075	-1.0346216312075	-1.0346216312075	1.66292980760876	0.925148524003965	0.515786562009778
