group	lib.size	norm.factors	eff.lib.size
b_44_01	995000	1.11489768699353	1109323.19855857
b_44_02	995304	0.956347836244201	951856.826805199
b_44_03	994302	1.02720784830598	1021354.81798633
nb_44_04	979765	0.740929944646069	725937.227216156
nb_44_05	992621	1.1655259697191	1156925.55358854
nb_44_06	987193	1.11341856119289	1099159.00967969
b_k4_01	991866	0.932831992966626	925244.337535835
b_k4_02	989139	1.15507461442686	1142529.34903957
b_k4_03	992654	1.02437373460955	1016848.68515511
nb_k4_04	989156	1.11714434151105	1105030.0282717
nb_k4_05	986563	0.72619312325976	716435.266262518
nb_k4_06	990463	1.06047366956687	1050359.93218021
