group	lib.size	norm.factors	eff.lib.size
b_44_01	991697	1.06699365497065	1058134.40665343
b_44_02	990326	1.28214161659427	1269738.17859533
b_44_03	989215	1.09306942106212	1081280.66735596
nb_44_04	970019	0.624276029708171	605559.61006149
nb_44_05	986489	1.07897694315566	1064398.88567668
nb_44_06	979740	1.02097272015599	1000287.81284563
b_k4_01	985836	1.16471528696821	1148218.25964359
b_k4_02	981042	1.07359254580994	1053239.37832647
b_k4_03	985832	0.991782461799754	977730.887880975
nb_k4_04	981384	1.00639175996881	987656.770965228
nb_k4_05	979713	0.770906968934439	755267.579255666
nb_k4_06	984115	1.01066384080354	994609.445692381
