group	lib.size	norm.factors	eff.lib.size
bleached_44_01	995177	1.25340790840937	1247362.72206711
bleached_44_02	990836	1.02767829585322	1018260.65195002
bleached_44_03	987792	1.05873864069249	1045813.55936692
bleached_K5_01	990362	0.999051506108695	989422.64769282
bleached_K5_02	994156	0.912997100499281	907661.545443963
bleached_K5_03	988137	1.06167548632151	1049080.83002727
bleached_K5_04	988091	1.02760188857217	1015364.17768117
bleached_K5_05	990372	1.01828207208839	1008478.05229832
bleached_K5_06	994392	0.898182255897203	893145.249806132
non-bleached_44_01	993000	1.0273796713601	1020188.01366058
non-bleached_44_02	986479	0.999484435168215	985970.406120306
non-bleached_44_03	989996	1.02968567268283	1019384.69721331
non-bleached_K5_01	986666	0.639722712363381	631192.649716727
non-bleached_K5_02	985782	1.15543666233534	1139008.66387026
non-bleached_K5_03	984390	1.0308738064812	1014781.86636203
