bleached_44_01	bleached_44_02	bleached_44_03	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03
bleached_44_01	1	0.893606418771195	0.816988507965318	-0.824724402028656	-0.855168298205113	-0.840584346471066
bleached_44_02	0.893606418771195	1	0.818545811987374	-0.827472062153183	-0.857862058770269	-0.837332558136842
bleached_44_03	0.816988507965318	0.818545811987374	1	-0.79348102029454	-0.833709654936991	-0.809193011033497
non-bleached_44_01	-0.824724402028656	-0.827472062153183	-0.79348102029454	1	0.663011887983922	0.625218372407643
non-bleached_44_02	-0.855168298205113	-0.857862058770269	-0.833709654936991	0.663011887983922	1	0.684179392697778
non-bleached_44_03	-0.840584346471066	-0.837332558136842	-0.809193011033497	0.625218372407643	0.684179392697778	1
