bleached_44_01	bleached_44_02	bleached_44_03	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03
TRINITY_GG_97807_c0_g2	-1.60904531191072	-1.60904531191072	-1.60904531191072	0.604457508073193	1.96590387868815	2.25677454897082
TRINITY_GG_11840_c53_g2	0.670457509181317	0.679778919259144	1.92735073865732	-1.09252905569926	-1.09252905569926	-1.09252905569926
TRINITY_GG_35840_c8_g2	-1.61409590181518	-1.61409590181518	-1.61409590181518	1.09298708995653	1.98045264773518	1.76884796775382
TRINITY_GG_74352_c3_g1	-1.46383323696978	-1.46383323696978	-1.46383323696978	2.89104202201671	1.83599752485259	-0.335539835959962
TRINITY_GG_104834_c8_g1	-1.21132918661908	-1.21132918661908	-1.21132918661908	-0.0046859626356881	2.09361985399226	1.54505366850068
TRINITY_GG_48640_c4_g1	-0.905511257873767	-0.905511257873767	-0.905511257873767	1.07889580743685	0.871855851576646	0.765782114607809
TRINITY_GG_92015_c2_g2	-1.97858848673695	-1.97858848673695	-1.97858848673695	2.48705953924533	3.13923120737716	0.309474713588364
TRINITY_GG_94578_c42_g1	-0.858493486782593	-0.858493486782593	-0.858493486782593	1.12445446837493	0.642308566274565	0.808717425698278
TRINITY_GG_77065_c0_g1	-0.90686644483245	-0.90686644483245	-0.90686644483245	0.756705890585073	1.25534359148186	0.70854985243042
TRINITY_GG_33279_c2_g1	-2.81148055482547	-2.81148055482547	-2.81148055482547	0.259767264635968	4.3389268021551	3.83574759768536
TRINITY_GG_41221_c0_g1	0.244560312743579	2.78659212115405	0.926105436323823	-1.31908595674048	-1.31908595674048	-1.31908595674048
TRINITY_GG_12835_c43_g1	-1.0630798230352	-1.0630798230352	-1.0630798230352	1.2166885985584	0.708805755480171	1.26374511506701
TRINITY_GG_81815_c16_g1	-1.16251591835054	-1.16251591835054	-1.16251591835054	1.66225193479275	1.69267648960861	0.132619330650274
TRINITY_GG_75277_c0_g1	-1.18667897810813	-1.18667897810813	-1.18667897810813	0.831599106916223	1.1657970809422	1.56264074646595
TRINITY_GG_22165_c1_g2	-1.08707050109178	-1.08707050109178	-1.08707050109178	0.160857012351802	2.05550631315277	1.04484817777078
TRINITY_GG_13422_c138_g1	-1.46991705562798	-1.46991705562798	-1.46991705562798	0.350159765469533	2.30407926948319	1.75551213193122
TRINITY_GG_14646_c48_g1	-0.905741970741783	-0.905741970741783	-0.905741970741783	1.04472644340834	0.507852111667392	1.16464735714962
TRINITY_GG_33114_c2_g3	-1.24275895020621	-1.24275895020621	-1.24275895020621	1.05384528888273	2.250888383769	0.423543177966889
TRINITY_GG_67494_c0_g2	-1.23964067504197	-1.23964067504197	-1.23964067504197	2.02669612437816	0.638496091584975	1.05372980916278
TRINITY_GG_30427_c0_g1	-1.04473087813237	-1.04473087813237	-1.04473087813237	1.72673218023328	0.529612875787643	0.877847578376187
TRINITY_GG_33767_c3_g1	-1.1556169662649	-1.1556169662649	-1.1556169662649	0.892270363131645	0.0566410779378299	2.51793945772524
TRINITY_GG_54835_c0_g2	-0.933768991964463	-0.933768991964463	-0.933768991964463	0.662689147594522	0.562437673959021	1.57618015433985
TRINITY_GG_21875_c2_g1	-1.02397917731512	-1.02397917731512	-1.02397917731512	0.595199038743953	2.00246680298869	0.47427169021271
TRINITY_GG_46504_c1_g1	-0.902413547214821	-0.902413547214821	-0.902413547214821	0.689744454910539	0.787332891278735	1.23016329545519
TRINITY_GG_17162_c8_g1	-1.36451829798891	-1.36451829798891	-1.36451829798891	0.847428384382274	1.23074664404867	2.01537986553578
TRINITY_GG_71135_c48_g1	-1.23220868796009	-1.23220868796009	-1.23220868796009	1.50742342626052	1.47730252647188	0.711900111147865
TRINITY_GG_83313_c73_g1	2.67136041914886	1.27200075765883	1.55012223517592	-1.83116113732787	-1.83116113732787	-1.83116113732787
TRINITY_GG_102829_c7_g1	-0.999532185171141	-0.999532185171141	-0.999532185171141	0.303225530466896	1.21955887307506	1.47581215197147
TRINITY_GG_96045_c0_g1	1.22830640401716	0.654585739717921	1.03897159489943	-0.973954579544839	-0.973954579544839	-0.973954579544839
TRINITY_GG_71084_c0_g1	-1.4589561296309	-1.39271571191117	-1.25955715508068	0.840505878602402	1.82967670942528	1.44104640859507
TRINITY_GG_52903_c1_g2	1.70166402820261	1.10967603499681	1.26225285797166	-1.35786430705703	-1.35786430705703	-1.35786430705703
TRINITY_GG_15345_c0_g1	2.70708939126094	3.97376807567544	3.33821207811173	-3.07436208897401	-3.8525706653721	-3.09213679070199
TRINITY_GG_100385_c22_g1	-1.0392986328859	-1.0392986328859	-1.0392986328859	1.35987246093392	1.44174192323232	0.316281514491459
TRINITY_GG_79246_c1_g1	-0.983534874956342	-0.983534874956342	-0.983534874956342	1.04538783563967	1.263481174811	0.641735614418351
TRINITY_GG_31026_c12_g1	-1.00256425692548	-1.00256425692548	-1.00256425692548	0.604825243098916	0.634814137946812	1.76805338973072
TRINITY_GG_72755_c3_g1	-0.97830442577294	-0.97830442577294	-0.97830442577294	0.941607662904368	0.354546696299214	1.63875891811524
TRINITY_GG_13729_c190_g1	-0.911728839058739	-0.911728839058739	-0.911728839058739	1.02712149794732	0.382230139969955	1.32583487925894
TRINITY_GG_26510_c0_g1	-1.94656798476467	-1.94656798476467	-1.94656798476467	1.73296841393654	2.39463502326747	1.71210051708999
TRINITY_GG_101571_c0_g1	0.464003923205072	1.57172250155298	1.7001337127968	-1.24528671251829	-1.24528671251829	-1.24528671251829
TRINITY_GG_13736_c39_g2	-1.00535450193646	-1.00535450193646	-1.00535450193646	0.970275684344361	1.24378740134388	0.802000420121141
TRINITY_GG_47444_c2_g1	-1.32425674759744	-1.32425674759744	-1.32425674759744	1.16013921490523	2.26346827204968	0.549162755837417
TRINITY_GG_70584_c87_g1	-1.0978778561303	-1.0978778561303	-1.0978778561303	1.28312858095832	0.604779687260613	1.40572530017196
TRINITY_GG_68139_c3_g1	2.95823074114482	3.64516958991502	2.79972749488509	-3.2857434070196	-2.75401444649704	-3.36336997242829
TRINITY_GG_87378_c5_g1	-1.12802403299543	-1.12802403299543	-1.12802403299543	0.811954731945276	1.07674271765918	1.49537464938183
TRINITY_GG_90089_c1_g1	-0.955440460045413	-0.955440460045413	-0.955440460045413	1.11872241546159	1.4995250135893	0.248073951085346
TRINITY_GG_24774_c12_g2	-1.34551954149711	-1.42321756540268	-1.37991067115111	0.623173509490942	2.86470397241136	0.660770296148593
TRINITY_GG_97192_c0_g1	-1.40030940615877	-1.40030940615877	-1.40030940615877	1.75641079349304	2.39857060125249	0.0459468237307907
TRINITY_GG_98601_c0_g1	2.35523417839646	1.03856925506129	0.990600314303418	-1.46146791592039	-1.46146791592039	-1.46146791592039
TRINITY_GG_74628_c11_g1	-0.871687826040439	-0.871687826040439	-0.871687826040439	1.19835796213249	0.646847312941741	0.769858203047085
TRINITY_GG_74673_c2_g1	-1.14065988956071	-1.14065988956071	-1.14065988956071	2.11740670875062	-0.718426888877658	2.02299984880915
TRINITY_GG_19589_c29_g1	-1.19963237136109	-1.19963237136109	-1.19963237136109	0.177769059424699	1.35397388532478	2.06715416933381
TRINITY_GG_93075_c10_g1	-0.229956461965632	1.45770445545697	2.49446090866529	-1.24073630071887	-1.24073630071887	-1.24073630071887
TRINITY_GG_18662_c41_g1	-1.1193433849713	-1.1193433849713	-1.1193433849713	1.13222423563695	1.77809067794905	0.447715241327896
TRINITY_GG_46995_c0_g2	-1.02482457255413	-1.02482457255413	-1.02482457255413	0.570201611511728	0.728352054767997	1.77592005138265
TRINITY_GG_24161_c18_g1	-0.994114192462882	-0.994114192462882	-0.994114192462882	0.0259434598783713	2.23023484473983	0.726164272770445
TRINITY_GG_12799_c27_g1	-1.12982232663886	-1.12982232663886	-1.12982232663886	1.54192394022436	0.753016329128387	1.09452671056385
TRINITY_GG_91655_c1_g2	-1.25844660645267	-1.25844660645267	-1.25844660645267	1.46729455005129	1.43687913762891	0.871166131677803
TRINITY_GG_60304_c0_g1	-1.14378975735226	-1.14378975735226	-1.14378975735226	0.578676267118835	1.29050486060767	1.56218814433027
TRINITY_GG_94974_c0_g1	0.864828930280095	1.10391764048886	1.49053236238255	-1.15309297771717	-1.15309297771717	-1.15309297771717
TRINITY_GG_33473_c12_g2	-1.02707189513145	-1.02707189513145	-1.02707189513145	0.974009720593998	1.23626304086505	0.870942923935309
