group	lib.size	norm.factors	eff.lib.size
bleached_k4_01	985838	1.16678038313228	1150256.43934636
bleached_44_01	991731	1.0637026400294	1054906.88289899
bleached_k4_02	981620	1.0695594375174	1049900.93505583
bleached_44_02	990297	1.27811281196906	1265711.28335452
bleached_44_03	989236	1.08974998487806	1078019.91604083
bleached_k4_03	985781	0.993260470721904	979137.300088709
non-bleached_k4_01	981389	1.00557336207694	986858.636235325
non-bleached_k4_02	979713	0.765044390570748	749523.935019239
non-bleached_44_01	969954	0.641809892985073	622526.072940443
non-bleached_k4_03	984624	1.00725776594774	991770.170538526
non-bleached_44_02	986464	1.0755982702985	1061038.97211174
non-bleached_44_03	979735	1.0179559514198	997327.074064282
