male_bleached_K5_01	male_bleached_K5_02	male_bleached_K5_03	female_bleached_K5_04	female_bleached_K5_05	female_bleached_K5_06
TRINITY_DN193662_c4_g1	-1.00018713693399	-1.35289960512761	-1.07727083240433	1.01643936781557	0.914762261284253	1.4991559453661
TRINITY_DN180814_c0_g2	1.33313138949784	0.913883278102142	0.844786511539847	-1.03060039304661	-1.03060039304661	-1.03060039304661
TRINITY_DN153993_c1_g1	1.24253039699919	0.84562570472478	2.36147617679031	-1.48321075950476	-1.48321075950476	-1.48321075950476
TRINITY_DN165894_c2_g1	-1.34803202398227	-0.537167830420326	-1.16798917534017	1.35874625269618	0.663271182378919	1.03117159466767
TRINITY_DN196408_c1_g1	0.972100278983333	0.0634451457846765	1.92301144105176	-0.986185621939924	-0.986185621939924	-0.986185621939924
TRINITY_DN180836_c2_g3	1.19723321183327	1.73503971052049	1.53267900620912	-1.31225786243123	-1.64966484953723	-1.50302921659443
TRINITY_DN190114_c4_g6	-0.872095262779899	-0.872095262779899	-0.872095262779899	1.17544312598346	1.09322728558736	0.34761537676888
TRINITY_DN192341_c3_g1	-1.24291471448485	-1.24291471448485	-1.24291471448485	1.75564186864548	2.09036588763241	-0.117263612823333
TRINITY_DN197617_c4_g2	2.86462597631985	1.67423464988141	0.596235807482613	-1.50902845784544	-2.4725925843183	-1.15347539152013
TRINITY_DN174182_c2_g3	-1.07314145747717	-1.07314145747717	-1.07314145747717	0.181452585555974	0.257416942553635	2.78055484432189
TRINITY_DN149028_c1_g1	1.51881947719592	1.35173893647736	0.340116225042244	-1.07022487957184	-1.07022487957184	-1.07022487957184
TRINITY_DN156086_c9_g3	-1.66235177540916	-1.45701023674372	-1.97985102555707	1.28096489065569	1.97425612776517	1.8439920192891
TRINITY_DN173830_c1_g1	1.7192927786565	-0.196042683025675	1.72979263907166	-1.08434757823416	-1.08434757823416	-1.08434757823416
TRINITY_DN190286_c2_g5	-0.95678840025749	-0.95678840025749	-0.95678840025749	1.04609410827563	0.707239259462657	1.11703183303418
TRINITY_DN181056_c2_g5	-1.30806294721177	-1.30806294721177	-1.30806294721177	1.41767820929218	2.49784855797616	0.00866207436697675
TRINITY_DN160346_c3_g1	5.05969646393524	-0.843405443294226	3.2628497971264	-3.33492569960838	-2.04428497729966	-2.09993014085938
TRINITY_DN176896_c2_g1	3.64036310530506	0.00624443050106294	1.23704484526581	-1.62788412702398	-1.62788412702398	-1.62788412702398
TRINITY_DN183745_c6_g2	0.996540994138586	0.32471529713835	2.55508231712281	-1.29211286946658	-1.29211286946658	-1.29211286946658
TRINITY_DN170361_c1_g1	2.18631761597696	0.0785956709775903	2.74065659779176	-2.02077861826297	-1.64450315413565	-1.34028811234769
TRINITY_DN197694_c5_g1	1.19771257832778	1.68447957748561	0.807488627548963	-1.22989359445412	-1.22989359445412	-1.22989359445412
TRINITY_DN165630_c5_g4	-1.44284425139811	-1.61405107881625	-1.61405107881625	3.37035598649436	-1.05823492375461	2.35882534629085
TRINITY_DN177371_c7_g1	1.59645215818471	0.630717622485232	2.67275431944116	-1.82851968070415	-0.949394826465499	-2.12200959294146
TRINITY_DN183145_c2_g1	2.5985543025717	0.987486721829559	0.419013982666715	-1.33501833568932	-1.33501833568932	-1.33501833568932
TRINITY_DN158340_c1_g2	5.36608662857828	-0.772349600379504	2.62660706372409	-1.93350439219408	-2.87836283800162	-2.40847686172716
TRINITY_DN199072_c0_g1	2.5033921888735	0.605252427667967	1.44570851077341	-1.00795565232247	-1.16852566587353	-2.37787180911889
TRINITY_DN167223_c11_g1	6.60002504981496	-1.85164155137263	2.79497573291339	-2.7052002633577	-2.08301844990455	-2.75514051809346
TRINITY_DN196784_c3_g1	-2.24590502144714	-2.24590502144714	-2.24590502144714	4.48782892581035	4.49579115997821	-2.24590502144714
TRINITY_DN175844_c1_g2	-1.3209694205098	-1.3209694205098	-1.14337049118207	1.79139710256276	2.69007888489575	-0.696166655256852
TRINITY_DN146724_c2_g1	0.778756885832827	0.773471538077964	1.6010495981248	-1.05109267401186	-1.05109267401186	-1.05109267401186
TRINITY_DN177830_c2_g4	-1.66135963592947	-1.67697468657135	-0.638638469596594	2.09923428823121	1.23771027588285	0.640028227983352
TRINITY_DN175161_c5_g3	-1.41617342905636	-1.41617342905636	-1.41617342905636	2.07555142201425	2.06357450530986	0.109394359844984
TRINITY_DN184982_c4_g3	-1.65018275397936	-1.65018275397936	-1.65018275397936	1.25632307164664	1.6423045376414	2.05192065265003
TRINITY_DN162578_c3_g1	2.3884915050346	0.574500153347777	1.27656191427457	-1.41318452421898	-1.41318452421898	-1.41318452421898
TRINITY_DN158303_c0_g1	-0.963930797429418	-1.08189413478371	-1.39605041261775	1.24042599680196	1.36552890015931	0.835920447869602
TRINITY_DN151349_c0_g1	-1.10662117461056	-1.10662117461056	-1.10662117461056	2.49685681364345	1.13552398623902	-0.312517276050807
TRINITY_DN165967_c1_g2	-2.00005378201233	-1.71717224130006	-2.02060900119449	3.29249365570144	-0.78258991182249	3.22793128062793
TRINITY_DN156043_c7_g1	-0.91043951846171	-1.14916770660125	-2.15804110960844	1.56091429199069	1.78215589376993	0.874578148910789
TRINITY_DN196324_c2_g3	2.57468738502555	-0.61330830425143	3.08731599380072	-1.54671777266031	-1.87807152400198	-1.62390577791256
TRINITY_DN182799_c0_g3	0.808416289394184	0.288957377347227	2.4469743336749	-1.1814493334721	-1.1814493334721	-1.1814493334721
TRINITY_DN159216_c7_g1	0.378393170986148	1.24422793266144	0.905046396794312	-0.842555833480632	-0.842555833480632	-0.842555833480632
TRINITY_DN175524_c1_g4	-1.99875495737763	-0.741930261060121	-2.05139031020574	1.94860968979426	1.5530336500496	1.29043218879962
TRINITY_DN161602_c1_g5	-1.47608457280478	-1.47608457280478	-1.47608457280478	1.44039207163294	1.92963555457647	1.05822609220494
TRINITY_DN177659_c2_g1	-1.58380915370182	-0.602218953161591	-1.36535943019199	0.95190728732551	1.09048491186835	1.50899533786154
TRINITY_DN167514_c1_g1	-1.18497668237553	-1.18497668237553	-1.18497668237553	1.83116302027973	1.07565122575117	0.648115801095685
TRINITY_DN180126_c0_g1	-1.22426036691454	-1.05010032066571	-0.560254911262657	0.820677164029334	1.03593521988363	0.978003214929934
TRINITY_DN155167_c8_g1	1.43466089370651	0.247061773275554	1.58422774415266	-1.08865013704491	-1.08865013704491	-1.08865013704491
TRINITY_DN195285_c3_g2	-1.72179718557889	-1.72179718557889	-1.72179718557889	2.47756106900621	2.52992190702707	0.157908580703396
TRINITY_DN171321_c0_g1	0.861165160206889	1.27888109649658	1.18347449181204	-1.00814991239917	-0.750494634731138	-1.5648762013852
TRINITY_DN122965_c0_g1	1.86807582503197	1.33191522773835	-0.160399343578503	-1.01319723639727	-1.01319723639727	-1.01319723639727
TRINITY_DN190982_c0_g1	-0.947342289720626	-1.35839062650216	-0.945499767068026	0.487152716466705	1.97833363647685	0.785746330347263
TRINITY_DN159359_c5_g1	2.33455074638993	0.319815719097566	1.66365387862062	-1.43934011470271	-1.43934011470271	-1.43934011470271
TRINITY_DN176782_c4_g4	3.13980222205242	0.615161967582594	1.41610662505276	-1.72369027156259	-1.72369027156259	-1.72369027156259
TRINITY_DN166181_c0_g1	1.81321709228308	1.11623365373056	0.790425756921115	-1.06335960756846	-0.886599260907197	-1.7699176344591
TRINITY_DN166386_c6_g1	3.19674381092356	0.950771964094866	1.65220354544755	-1.93323977348866	-1.93323977348866	-1.93323977348866
TRINITY_DN164343_c3_g1	0.24187596646201	2.27493874610395	0.891427289478356	-1.1360806673481	-1.1360806673481	-1.1360806673481
TRINITY_DN140001_c0_g1	1.25397135233187	1.66568949851444	0.65290879307718	-1.45662514895905	-1.25792445468521	-0.858020040279229
TRINITY_DN177189_c8_g2	-2.29112732371527	-2.21200570346071	-2.35770536780267	2.56844921540219	2.04152161662871	2.25086756294776
TRINITY_DN194302_c2_g5	-1.051356418933	-1.051356418933	-1.051356418933	0.769128924053383	0.578116777853952	1.80682355489166
TRINITY_DN152703_c2_g1	1.73468608448148	-0.195611748888452	2.25686741096253	-1.26531391551852	-1.26531391551852	-1.26531391551852
TRINITY_DN128700_c0_g2	0.616232096610425	1.461059826564	0.507043769690221	-0.861445230954882	-0.861445230954882	-0.861445230954882
TRINITY_DN157719_c1_g1	7.31043866854332	-2.04133498505317	1.66803094897797	-2.36074699454976	-2.16880038916562	-2.40758724875273
TRINITY_DN172831_c3_g2	-0.915997746182764	-0.915997746182764	-0.915997746182764	0.36910850487849	1.20369042833643	1.17519430533337
TRINITY_DN160685_c1_g2	1.56561497957555	1.07484226471238	0.300602924301311	-0.980353389529745	-0.980353389529745	-0.980353389529745
TRINITY_DN173167_c3_g1	-0.569236001352284	3.78147553389279	0.662866544929619	-1.29170202582338	-1.29170202582338	-1.29170202582338
TRINITY_DN181652_c1_g3	-1.07047100507558	-1.26234520667535	-1.14890195976134	1.18163054224021	0.793586068522355	1.50650156074971
TRINITY_DN172423_c1_g1	1.65773366101482	1.62104271756587	1.5537749536577	-1.61085044407946	-1.61085044407946	-1.61085044407946
TRINITY_DN193174_c1_g4	-1.92042531631146	-0.510332701867943	-1.91857796777317	1.07045027382057	2.04748019483556	1.23140551729645
TRINITY_DN184969_c3_g1	0.666018416007681	1.11391276120352	1.9484522979844	-1.24279449173187	-1.24279449173187	-1.24279449173187
TRINITY_DN168592_c1_g4	2.80370056531811	1.31213220731042	1.30710115684174	-2.31861304319798	-1.94652885174654	-1.15779203452575
TRINITY_DN199317_c3_g4	1.18177578928115	2.87413903730202	-0.379183941006525	-1.22557696185888	-1.22557696185888	-1.22557696185888
TRINITY_DN192161_c3_g6	1.58627193970754	1.22476795683607	0.825540246448983	-1.21219338099753	-1.21219338099753	-1.21219338099753
TRINITY_DN163514_c1_g1	4.22769000194551	-0.234235045431414	1.25586944174762	-2.17240170483304	-1.26549567858838	-1.8114270148403
TRINITY_DN156297_c4_g1	-1.51546517116449	-1.51546517116449	-1.51546517116449	1.87589013417889	1.68491362681954	0.985591752495028
TRINITY_DN193670_c0_g1	0.862095438349617	1.28089312614192	0.381356279661062	-0.841448281384199	-0.841448281384199	-0.841448281384199
TRINITY_DN181231_c0_g2	1.79395153853768	1.0895943698866	2.25953598774084	-1.87364049621906	-1.08895540341273	-2.18048599653334
TRINITY_DN194594_c0_g1	5.7059415319675	-1.49176117267957	2.4045694311748	-2.24482715759745	-2.10969107997419	-2.26423155289108
TRINITY_DN184557_c3_g2	2.5592169694019	1.7349924841932	2.02621368171286	-2.34353196119587	-1.63335921291621	-2.34353196119587
TRINITY_DN178778_c7_g3	-1.22383025935383	-1.22383025935383	-1.22383025935383	2.2544944521312	0.418640277961995	0.998356047968286
TRINITY_DN196648_c5_g3	-1.23845214514641	-1.23845214514641	-1.23845214514641	2.48521562453443	0.706031526002338	0.524109284902475
TRINITY_DN174527_c7_g1	0.00150361757503159	5.74251069862863	5.33379661472387	-3.73550774664688	-2.36556540211833	-4.97673778216233
TRINITY_DN155268_c4_g3	4.46327106925121	-1.63401019280743	3.87455224679251	-2.67656467657557	-1.58638244788468	-2.44086599877603
TRINITY_DN192453_c3_g2	-2.09663342475901	-1.05798986037383	-0.972802515322268	0.734061788601596	1.76642628470591	1.62693772714759
TRINITY_DN164726_c5_g1	-1.34346660812313	-1.26643509120335	-0.804646880590023	1.27317241903967	1.18775726884819	0.953618892028649
TRINITY_DN170043_c2_g2	1.37928765656174	0.846702829763593	1.40621874600887	-1.10137271596031	-1.56679344612774	-0.964043070246162
TRINITY_DN182124_c0_g4	0.606424756406422	3.65261911190401	-0.0213476113754345	-1.41256541897833	-1.41256541897833	-1.41256541897833
TRINITY_DN147884_c0_g1	5.17137263262178	-1.04993410565336	2.08487297773638	-2.16586869715089	-2.09168972256868	-1.94875308498525
TRINITY_DN177798_c2_g6	1.45058633225896	1.32412431871068	0.357545187196147	-1.04408527938859	-1.04408527938859	-1.04408527938859
TRINITY_DN194695_c1_g4	0.938754087117738	2.95729134004447	0.00130111408710243	-1.29911551374977	-1.29911551374977	-1.29911551374977
TRINITY_DN175008_c2_g3	1.28756197512924	1.06016397903735	1.26899288736221	-1.20557294717627	-1.20557294717627	-1.20557294717627
TRINITY_DN199961_c6_g2	0.765079067086051	1.78088447972411	2.24249179598278	-1.98384316449704	-0.905178316548143	-1.89943386174775
TRINITY_DN218072_c0_g1	1.09844061872629	2.9136507909449	-0.435255417537203	-1.19227866404466	-1.19227866404466	-1.19227866404466
TRINITY_DN155272_c10_g2	0.746186117379591	1.24977332006747	0.4710380037918	-0.822332480412953	-0.822332480412953	-0.822332480412953
TRINITY_DN164468_c3_g4	2.01939157225853	1.40483281569552	0.142407931872558	-1.27646513352043	-1.05906923667986	-1.23109794962632
TRINITY_DN175153_c5_g1	0.673449731681556	1.7281173884531	0.556487496075031	-0.98601820540323	-0.98601820540323	-0.98601820540323
TRINITY_DN155723_c1_g1	-0.79070303953679	-0.79070303953679	-0.79070303953679	1.04764369698444	0.981604935421613	0.342860486204316
TRINITY_DN180483_c6_g1	1.79940845143887	1.53159781080366	0.231093312625111	-1.18736652495588	-1.18736652495588	-1.18736652495588
TRINITY_DN177614_c1_g3	0.947052639247858	1.94598331612968	0.318503055921997	-1.07051300376651	-1.07051300376651	-1.07051300376651
TRINITY_DN175161_c1_g1	-0.885336329161234	-0.885336329161234	-0.885336329161234	1.20076804208206	1.20110777952408	0.254133165877563
TRINITY_DN173493_c9_g1	1.20160060910379	2.04207964192637	0.335883412114294	-1.19318788771482	-1.19318788771482	-1.19318788771482
TRINITY_DN161175_c5_g1	-1.03388632281534	-1.03388632281534	-1.03388632281534	0.720145995540701	2.11439703968784	0.267115933217476
TRINITY_DN194580_c0_g2	0.637470477145441	1.39094778277331	0.695592941165467	-0.90800373369474	-0.90800373369474	-0.90800373369474
TRINITY_DN155812_c1_g2	-1.34980239501412	-1.34980239501412	-1.34980239501412	1.69354210986305	0.667406895018099	1.68845818016123
TRINITY_DN161602_c1_g2	-1.74537252082595	-1.74537252082595	-1.74537252082595	1.2470333782057	2.62108958433832	1.36799459993385
TRINITY_DN173325_c0_g1	1.89894363435163	2.16124068877201	2.18194369291765	-2.16451427469847	-2.00553644266621	-2.0720772986766
TRINITY_DN199758_c5_g1	2.36509918397902	0.674007113880931	0.633365129383585	-1.47005729597948	-1.12833107568232	-1.07408305558174
TRINITY_DN198754_c2_g5	1.54979009987827	0.0418029163546563	1.23074707547088	-0.940780030567934	-0.940780030567934	-0.940780030567934
TRINITY_DN174719_c5_g1	0.166809589789807	2.33167369801076	0.695385168173911	-1.06462281865816	-1.06462281865816	-1.06462281865816
TRINITY_DN183496_c1_g2	3.30183941116341	-0.726290995492872	2.91038813322273	-2.35698720474296	-0.952484986989176	-2.17646435716113
TRINITY_DN178887_c4_g2	2.79564141474279	1.02517796293753	0.0711619060637489	-1.29732709458135	-1.29732709458135	-1.29732709458135
TRINITY_DN110789_c0_g1	-1.28161229437901	-1.28161229437901	-1.28161229437901	1.13603772278168	0.375112875642239	2.33368628471311
TRINITY_DN199713_c6_g1	3.55997866679263	1.86713170665381	1.68431028352606	-1.98659053619563	-2.54353053895056	-2.5812995818263
TRINITY_DN142898_c0_g2	-0.471754985428056	0.933554256888908	3.18336426848809	-1.21505451331631	-1.21505451331631	-1.21505451331631
TRINITY_DN165418_c3_g1	-1.12970740822899	-1.12970740822899	-1.12970740822899	-0.317414563355721	1.60342996944873	2.10310681859397
TRINITY_DN196608_c3_g1	-1.64345674437247	4.56754689331132	6.17927647621551	-2.83626746211384	-2.72330691002707	-3.54379225301345
TRINITY_DN163660_c1_g1	-1.08367713017458	-1.08367713017458	-1.08367713017458	0.562485526983312	2.19594273609366	0.492603127446773
TRINITY_DN155255_c9_g2	0.898050115508203	0.602947311929018	0.780515007990864	-0.760504145142695	-0.760504145142695	-0.760504145142695
TRINITY_DN170407_c0_g2	0.845480263232192	1.33854320737684	0.461336771899132	-0.88178674750272	-0.88178674750272	-0.88178674750272
TRINITY_DN153067_c0_g1	0.858260277714233	1.38238251094986	0.427383069018039	-0.88934195256071	-0.88934195256071	-0.88934195256071
TRINITY_DN190316_c0_g2	1.33515477844036	1.94415710971421	0.197702467662894	-1.15900478527249	-1.15900478527249	-1.15900478527249
TRINITY_DN176344_c4_g4	1.08099962233243	1.47158936046187	1.38301289890082	-1.31186729389837	-1.31186729389837	-1.31186729389837
TRINITY_DN166565_c1_g1	0.413536860622015	1.94217961595343	1.71470639534258	-1.28278674904685	-1.39381806143559	-1.39381806143559
TRINITY_DN158919_c1_g1	3.52618762931033	1.27622316050486	2.48356041383117	-1.72334368879057	-2.7813137574279	-2.7813137574279
TRINITY_DN163336_c3_g1	3.52771664750051	1.50138691750242	-0.203733543581087	-1.65362710705197	-1.44683784678931	-1.72490506758057
TRINITY_DN166993_c4_g1	2.25487687867187	0.00212470394212949	2.16343553961341	-1.47347904074247	-1.47347904074247	-1.47347904074247
TRINITY_DN159515_c0_g1	0.235772874315768	3.12148708435908	0.291626109049285	-1.21629535590804	-1.21629535590804	-1.21629535590804
TRINITY_DN155220_c4_g2	2.91906951391094	0.976778633367999	-0.206254375432751	-1.2298645906154	-1.2298645906154	-1.2298645906154
TRINITY_DN191134_c1_g1	0.933858679300494	2.33931574661692	1.00802775723572	-1.42706739438438	-1.42706739438438	-1.42706739438438
TRINITY_DN175124_c4_g3	-2.70541582379125	-2.9454962445314	-2.71565985528806	3.14356135506863	2.26573002956808	2.95728053897399
TRINITY_DN132894_c0_g1	-0.0698395388920174	2.14436661099597	2.51643295469213	-1.53032000893203	-1.53032000893203	-1.53032000893203
TRINITY_DN163228_c4_g3	-1.76949005845715	-1.19716773851477	-2.10405833412328	1.31291648527112	1.36060993288016	2.39718971294393
TRINITY_DN180840_c1_g1	-1.03429384776939	-1.03429384776939	-1.03429384776939	1.07439786830303	0.577350695604276	1.45113297940086
TRINITY_DN173525_c2_g1	-1.72360324478324	-1.65890637893557	-0.985771978478304	1.40503486488845	1.68434838443359	1.27889835287507
TRINITY_DN176132_c4_g1	0.555860541671062	1.40311354024961	0.832815160372338	-0.930596414097669	-0.930596414097669	-0.930596414097669
TRINITY_DN138232_c0_g1	-0.785576401247351	-0.785576401247351	-0.785576401247351	1.22126017614931	0.396480207762899	0.738988819829848
TRINITY_DN152270_c4_g1	-1.53662552853798	-1.53662552853798	-1.53662552853798	1.66594891402382	1.65761915209974	1.28630851949039
TRINITY_DN154180_c0_g1	2.26329109657126	-0.0143021990802257	0.741666540517416	-0.996885146002816	-0.996885146002816	-0.996885146002816
TRINITY_DN176231_c3_g1	2.60159769465626	0.818548949954556	-0.220241895513434	-1.06663491636579	-1.06663491636579	-1.06663491636579
TRINITY_DN156699_c3_g1	2.18961186610212	0.896089382595934	0.32550660385714	-1.13706928418506	-1.13706928418506	-1.13706928418506
TRINITY_DN157912_c1_g1	2.78281875014408	-0.773753879698375	3.91799637494826	-2.022377842608	-2.17953737007758	-1.72514603270838
