male_bleached_K5_01	male_bleached_K5_02	male_bleached_K5_03	female_bleached_K5_04	female_bleached_K5_05	female_bleached_K5_06
male_bleached_K5_01	1	0.374197408482646	0.653518848115698	-0.810966388066769	-0.805244193966764	-0.784568161425203
male_bleached_K5_02	0.374197408482646	1	0.468521169339254	-0.684269150507484	-0.700290797189531	-0.665579794157709
male_bleached_K5_03	0.653518848115698	0.468521169339254	1	-0.816253980381985	-0.792801146659509	-0.810238067948264
female_bleached_K5_04	-0.810966388066769	-0.684269150507484	-0.816253980381985	1	0.842887991295152	0.813442509236901
female_bleached_K5_05	-0.805244193966764	-0.700290797189531	-0.792801146659509	0.842887991295152	1	0.791449051426663
female_bleached_K5_06	-0.784568161425203	-0.665579794157709	-0.810238067948264	0.813442509236901	0.791449051426663	1
