group	lib.size	norm.factors	eff.lib.size
bleached_44_01	992124	1.03567668827223	1027519.69867539
bleached_44_02	989925	0.949342426251542	939777.801307058
non-bleached_44_01	983659	1.04705783378842	1029947.86172649
bleached_44_03	995416	1.11619152730106	1111074.90533991
non-bleached_44_02	983689	0.99875274779866	982462.091729316
non-bleached_44_03	987478	1.01168189676913	999013.616057791
non-bleached_k4_01	986245	0.94064070223292	927702.189373706
non-bleached_k4_02	983138	0.965191363397542	948916.306627932
bleached_k4_01	984326	1.01524969707531	999336.673323353
bleached_k4_02	987145	1.01537912513332	1002326.42647973
non-bleached_k4_03	984953	0.976815257517268	962117.118337406
bleached_k4_03	985182	0.942086592791732	928126.753659744
