description	log10pvalue	representative
protein serine/threonine kinase activity	1.9649	protein serine/threonine kinase activity
transferase activity, transferring phosphorus-containing groups	1.3854	protein serine/threonine kinase activity
phosphotransferase activity, alcohol group as acceptor	1.536	protein serine/threonine kinase activity
