bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03
TRINITY_GG_21875_c27_g1	-2.56406164061001	-2.56406164061001	-2.56406164061001	2.94379641336162	2.71503816152375	2.03335034694464
TRINITY_GG_21212_c0_g1	-1.28257502527914	-1.28257502527914	-1.28257502527914	2.48147382890714	-0.517889172757005	1.88414041968728
TRINITY_GG_40513_c0_g1	-0.858393194910125	-0.858393194910125	-0.858393194910125	1.24929467440425	0.97388924079085	0.351995669535278
TRINITY_GG_53179_c0_g1	1.94977390804515	1.82377056330789	1.87101838063269	-1.93672678051938	-2.67810563918824	-1.0297304322781
TRINITY_GG_15082_c17_g1	0.867549457385315	0.853474272173593	0.701065557009166	-0.807363095522691	-0.807363095522691	-0.807363095522691
TRINITY_GG_13492_c65_g1	-1.09106576280686	-1.09106576280686	-1.09106576280686	0.31873246502156	1.56863050300213	1.38583432039689
TRINITY_GG_98538_c0_g1	1.7433556634648	0.924151740252794	2.0627348006395	-0.98344920856046	-2.08894901950584	-1.6578439762908
TRINITY_GG_75277_c0_g1	-1.09012570456874	-1.09012570456874	-1.09012570456874	1.11244873799306	1.23727424152868	0.920654134184498
TRINITY_GG_81148_c2_g1	0.675020466715004	1.14401694938784	0.593592867371158	-0.804210094491332	-0.804210094491332	-0.804210094491332
TRINITY_GG_34855_c8_g1	0.342422956777086	0.707187249574706	1.7284241040461	-0.926011436799298	-0.926011436799298	-0.926011436799298
TRINITY_GG_69221_c0_g1	-0.829537335254313	-0.829537335254313	-0.829537335254313	0.673302423001618	1.2791543808181	0.53615520194322
TRINITY_GG_27206_c3_g1	-0.895175216177132	-0.895175216177132	-0.895175216177132	0.739882613548082	0.875865198259646	1.06977783672367
TRINITY_GG_33114_c2_g3	-0.861102993224551	-0.861102993224551	-0.861102993224551	0.766503844905099	0.466584370951497	1.35022076381706
TRINITY_GG_15745_c0_g3	-1.19339320090345	-1.19339320090345	-1.19339320090345	1.02197477130003	1.98818645784375	0.57001837356656
TRINITY_GG_10986_c5_g1	-0.946048265735745	-1.48134686341745	-1.28638420258165	1.12357873979134	1.2115797327573	1.37862085918621
TRINITY_GG_34815_c0_g1	0.876461452273592	0.562776111962427	1.11971009944419	-0.852982554560071	-0.852982554560071	-0.852982554560071
TRINITY_GG_48014_c0_g2	-1.16322494659734	-1.16322494659734	-1.16322494659734	1.30092051009384	0.648657049621324	1.54009728007687
TRINITY_GG_104101_c0_g1	5.39250786170946	0.0617758457466229	0.0839256137295643	-1.79917543752365	-1.81210289893998	-1.92693098472202
TRINITY_GG_14717_c5_g1	-0.896506504001264	-0.896506504001264	-0.896506504001264	1.871995443433	0.583758618053199	0.233765450517595
TRINITY_GG_77802_c0_g1	2.37697789222119	2.06196296998789	1.7233257072993	-2.05890639196326	-2.09030158823879	-2.01305858930633
TRINITY_GG_47002_c0_g1	-1.00182924958887	-1.00182924958887	-1.00182924958887	1.00500732780779	1.08087333974138	0.91960708121743
TRINITY_GG_5623_c0_g1	-1.83380254463466	-1.83380254463466	-1.83380254463466	1.74090450178088	3.06648465436274	0.694018477760369
TRINITY_GG_99146_c1_g1	0.9046570630885	-0.212642413603118	2.40491714181334	-1.03231059709957	-1.03231059709957	-1.03231059709957
TRINITY_GG_78403_c6_g3	1.16938652139815	1.50966716817937	2.66587138537128	-1.7816416916496	-1.7816416916496	-1.7816416916496
TRINITY_GG_17944_c12_g2	-1.02434379187574	-1.02434379187574	-1.02434379187574	1.65822950547184	0.418732359486933	0.996069510668447
TRINITY_GG_10779_c0_g1	0.999384306134525	0.860472587991782	1.66137248791209	-1.17374312734613	-1.17374312734613	-1.17374312734613
TRINITY_GG_42490_c0_g2	2.05123407826941	0.903176627168945	1.89180369381071	-1.14025034390573	-1.78835472328745	-1.91760933205589
TRINITY_GG_101571_c0_g1	0.446877331641301	1.55696129029102	1.7113316026943	-1.23839007487554	-1.23839007487554	-1.23839007487554
TRINITY_GG_13736_c39_g2	-0.810407748981804	-0.810407748981804	-0.810407748981804	0.702071997937828	1.09648284662671	0.632668402380869
TRINITY_GG_102785_c0_g1	1.2174415045501	0.818186000640979	0.597795932215679	-0.877807812468921	-0.877807812468921	-0.877807812468921
TRINITY_GG_53973_c0_g2	-0.977341174729418	-0.977341174729418	-0.977341174729418	0.677094366115981	0.955475928012432	1.29945323005984
TRINITY_GG_59996_c0_g1	-1.5038035121364	-1.5038035121364	-1.5038035121364	1.82057508198578	1.38255153138875	1.30828392303468
TRINITY_GG_73727_c99_g1	0.35481728495843	1.74543278691014	0.593634927840694	-0.897961666569754	-0.897961666569754	-0.897961666569754
TRINITY_GG_35286_c1_g1	3.03752220151232	0.819798309147863	2.74452446952879	-2.20061499339632	-2.20061499339632	-2.20061499339632
TRINITY_GG_22747_c2_g1	0.804216801578927	0.783050599182039	2.47412361427156	-1.35379700501084	-1.35379700501084	-1.35379700501084
TRINITY_GG_26424_c0_g1	1.67513261143969	1.59797232557086	0.898214163451239	-1.39043970015393	-1.39043970015393	-1.39043970015393
TRINITY_GG_83274_c0_g1	1.59831730478075	0.435388569887493	1.18997585458221	-1.07456057641682	-1.07456057641682	-1.07456057641682
TRINITY_GG_51455_c0_g1	-0.995012356995574	-0.995012356995574	-0.995012356995574	1.16558518888498	0.0434238246605347	1.7760280574412
TRINITY_GG_102645_c8_g1	-1.1081616288232	-1.1081616288232	-1.1081616288232	0.179310666295865	2.04888208132238	1.09629213885136
TRINITY_GG_81149_c3_g3	-0.870336336500616	-0.870336336500616	-0.870336336500616	1.03924477947907	0.797782788185816	0.773981441836962
TRINITY_GG_16705_c2_g1	-1.0140797769917	-1.0140797769917	-1.0140797769917	0.857763871517617	1.39408859371641	0.790386865741077
TRINITY_GG_8421_c0_g1	-1.00854692775784	-1.00854692775784	-1.00854692775784	0.17032703041196	1.36663155183178	1.48868220102977
TRINITY_GG_54534_c0_g1	-1.25888970644259	-1.25888970644259	-1.25888970644259	1.13260308353813	0.607820493231431	2.03624554255822
TRINITY_GG_95174_c44_g1	1.40599487596888	0.430384123883115	0.690329992487636	-0.842236330779877	-0.842236330779877	-0.842236330779877
TRINITY_GG_105209_c31_g4	-0.898934113678923	-0.898934113678923	-0.898934113678923	0.485668343971831	1.10646587406367	1.10466812300127
TRINITY_GG_99871_c23_g1	1.52419824715459	0.260571237064824	1.28350430874103	-1.02275793098682	-1.02275793098682	-1.02275793098682
TRINITY_GG_48_c0_g1	-1.4502544372197	-1.4502544372197	-1.4502544372197	0.716782284897787	1.2555023448301	2.37847868193121
TRINITY_GG_87282_c1_g1	-0.871453578718579	-0.871453578718579	-0.871453578718579	1.57241824967918	0.485253674216802	0.556688812259751
TRINITY_GG_13666_c35_g1	-0.987420671348467	-0.987420671348467	-0.987420671348467	0.910207002931083	1.0496100595965	1.00244495151782
TRINITY_GG_6984_c33_g1	1.21926049063922	1.08479374463781	0.510265737139784	-0.93810665747227	-0.93810665747227	-0.93810665747227
TRINITY_GG_19730_c0_g2	-1.02035862723647	-1.02035862723647	-1.02035862723647	1.18284252908014	1.02438519398793	0.853848158641331
TRINITY_GG_53519_c0_g1	-1.52881641714664	-1.52881641714664	-1.52881641714664	2.4532188442113	1.15285772464619	0.98037268258242
TRINITY_GG_13494_c0_g1	1.46972871593854	1.54983104155566	1.75872564429683	-1.08254539906981	-1.78743749429509	-1.90830250842612
TRINITY_GG_3559_c0_g1	-0.897804714979917	-0.897804714979917	-0.897804714979917	0.776655936580342	1.18182939738879	0.734928810970619
TRINITY_GG_21084_c20_g1	0.187166298059401	0.870642340172942	1.72379354244545	-0.927200726892599	-0.927200726892599	-0.927200726892599
TRINITY_GG_33473_c12_g2	-0.896859414318395	-0.896859414318395	-0.896859414318395	0.973406656077587	0.812872345102296	0.904299241775303
TRINITY_GG_85747_c2_g1	-0.98176189274619	-0.98176189274619	-0.98176189274619	0.553295702148652	0.844430643490411	1.54755933259951
TRINITY_GG_74928_c9_g1	-0.996746504646047	-0.996746504646047	-0.996746504646047	0.522292104954011	1.88021239142352	0.587735017560606
TRINITY_GG_17613_c4_g1	-0.925529678151951	-0.925529678151951	-0.925529678151951	1.47364141566787	0.296038110386459	1.00690950840152
TRINITY_GG_85730_c0_g1	-1.09414896454972	-1.09414896454972	-1.09414896454972	-0.681638393299914	2.46129910911156	1.50278617783751
TRINITY_GG_59042_c0_g1	-0.886691946356342	-0.886691946356342	-0.886691946356342	1.47057852932322	0.414895700246845	0.774601609498964
TRINITY_GG_70583_c59_g2	1.1785195949929	0.286223480104889	1.19020696684197	-0.884983347313253	-0.884983347313253	-0.884983347313253
TRINITY_GG_65960_c0_g1	-1.38376500254233	-1.38376500254233	-1.38376500254233	1.0449134074059	1.64214969620846	1.46423190401262
TRINITY_GG_26318_c30_g1	-1.47117332014737	-1.47117332014737	-1.47117332014737	1.17268286962735	1.62862682325205	1.61221026756271
TRINITY_GG_81041_c1_g2	-1.40657165663585	-1.40657165663585	-1.40657165663585	1.85631246063685	1.36044745309556	1.00295505617513
TRINITY_GG_62834_c0_g1	-1.46295673211516	-1.46295673211516	-1.46295673211516	2.037845320942	0.868748484383734	1.48227639101974
TRINITY_GG_23481_c1_g1	2.28742042265931	1.32701950028413	3.59853948593244	-1.63362322841702	-2.31525126868379	-3.26410491177506
TRINITY_GG_99295_c2_g1	-0.97964120568154	-0.97964120568154	-0.97964120568154	1.61777078187311	0.409374854006969	0.911777981164539
TRINITY_GG_100021_c39_g1	-1.22209131548696	-1.22209131548696	-1.22209131548696	1.13123197567594	0.947513051430001	1.58752891935494
TRINITY_GG_41447_c1_g2	-1.03589138321215	-1.03589138321215	-1.03589138321215	1.73239882355381	0.119857849465799	1.25541747661682
TRINITY_GG_86341_c10_g1	-0.962824875044383	-0.962824875044383	-0.962824875044383	0.58314349406091	0.531334688668461	1.77399644240378
TRINITY_GG_5146_c0_g1	0.240903962216533	1.11731300148172	1.25617071886984	-0.87146256085603	-0.87146256085603	-0.87146256085603
TRINITY_GG_91091_c0_g2	-1.1522243308368	-1.1522243308368	-1.1522243308368	1.0917493410825	2.4290063853957	-0.064082733967787
TRINITY_GG_57379_c0_g1	1.66627657268652	1.3808046903828	2.2134563568061	-1.29419129763124	-2.26804117437034	-1.69830514787384
TRINITY_GG_16764_c2_g2	0.987196450358135	2.29483254861102	2.19079474154595	-1.8242745801717	-1.8242745801717	-1.8242745801717
TRINITY_GG_19424_c0_g1	1.99310056186814	1.18755124372443	0.88346861253489	-1.35470680604249	-1.35470680604249	-1.35470680604249
TRINITY_GG_38362_c0_g3	1.98424769006905	2.36976261732469	0.739617991258291	-1.69787609955067	-1.69787609955067	-1.69787609955067
TRINITY_GG_19266_c1_g2	2.39428832094941	2.52368290612911	-0.90077316808527	-1.33906601966442	-1.33906601966442	-1.33906601966442
TRINITY_GG_98701_c1_g1	2.38576384825425	-0.256976172015454	3.03564124711102	-2.03388555649571	-1.2969199623295	-1.83362340452461
TRINITY_GG_68391_c0_g1	2.57833430188678	3.89649988159996	3.02138100961739	-3.43121442508548	-3.43121442508548	-2.63378634293317
TRINITY_GG_101167_c26_g1	-1.78220231682756	-1.78220231682756	-1.78220231682756	1.44291833885688	1.52610030414477	2.37758830748104
TRINITY_GG_25467_c1_g1	1.88123797354653	0.277376382767748	1.47480152225591	-1.21113862619006	-1.21113862619006	-1.21113862619006
TRINITY_GG_62431_c0_g1	-1.30324892530438	-1.30324892530438	-1.30324892530438	1.06496067279489	2.3948584011005	0.449927702017743
TRINITY_GG_106120_c1_g2	1.23544573579248	0.80723865399225	1.4844435137111	-1.17570930116528	-1.17570930116528	-1.17570930116528
TRINITY_GG_81730_c32_g1	-0.917466018814857	-0.917466018814857	-0.917466018814857	0.950825649957941	1.46989652202114	0.331675884465491
TRINITY_GG_27581_c2_g1	-1.45354719348918	-1.45354719348918	-1.45354719348918	2.71501461880715	0.213209398395619	1.43241756326479
TRINITY_GG_11224_c0_g2	-1.56919300710562	-1.56919300710562	-1.56919300710562	1.60649126362537	1.34173148978738	1.75935626790412
TRINITY_GG_17473_c82_g1	-1.08376828428597	-1.08376828428597	-1.08376828428597	0.43677968382061	1.13191031232196	1.68261485671533
TRINITY_GG_39234_c1_g1	-2.32835418814825	-1.89444376235327	-2.2251130822469	-1.02408581418984	3.75538947128956	3.71660737564871
TRINITY_GG_20354_c4_g1	-1.32717438658441	-1.32717438658441	-1.32717438658441	2.15735047429144	0.295755964335764	1.52841672112604
TRINITY_GG_18207_c5_g3	-1.43948715633155	-1.43948715633155	-1.43948715633155	1.15601650417119	1.78963927628173	1.37280568854172
TRINITY_GG_21981_c0_g1	-1.37364228879617	-1.37364228879617	-1.37364228879617	1.51894302639648	1.7438865351925	0.85809730479953
TRINITY_GG_23355_c0_g1	-1.37733055750082	-1.37733055750082	-1.37733055750082	2.00312184922735	0.630223778637458	1.49864604463764
TRINITY_GG_8251_c0_g1	-1.03134219467095	-1.03134219467095	-1.03134219467095	-0.460879263644907	2.17373747107889	1.38116837657886
TRINITY_GG_88200_c2_g2	-0.849339460262939	-0.849339460262939	-0.849339460262939	0.609042543893074	0.977666549376037	0.961309287519707
TRINITY_GG_32947_c0_g1	-1.12655135865	-1.12655135865	-1.12655135865	0.655437757214707	1.3241980168875	1.40001830184779
TRINITY_GG_76550_c108_g1	-1.01526619596564	-1.01526619596564	-1.01526619596564	0.888543362613061	1.04720094753507	1.11005427774878
TRINITY_GG_80986_c39_g1	-0.947028722368302	-0.947028722368302	-0.947028722368302	0.712895836034076	1.50767360579539	0.620516725275444
TRINITY_GG_44205_c0_g1	-1.39518556630314	-1.39518556630314	-1.39518556630314	-1.08252039274475	2.22563540963838	3.0424416820158
TRINITY_GG_77620_c0_g3	-0.924228693318291	-0.924228693318291	-0.924228693318291	0.449837024904247	1.08583499002641	1.23701406502422
TRINITY_GG_3138_c0_g1	1.05017513717568	0.873229069440498	2.31222733824609	-1.41187718162076	-1.41187718162076	-1.41187718162076
