group	lib.size	norm.factors	eff.lib.size
bleached_44_01	994643	1.03555688324591	1030009.40502237
bleached_44_02	993086	0.949955026462452	943387.03740949
bleached_k4_01	988098	1.02269018203065	1010518.12348413
bleached_k4_02	990787	1.01916845876297	1009778.85975238
bleached_k4_03	988880	0.934993587671565	924596.458976657
bleached_44_03	997280	1.08132049470427	1078379.30295868
non-bleached_k4_01	990116	0.936341346041834	927086.548177557
non-bleached_k4_02	986520	0.962321838515383	949349.740132196
non-bleached_44_01	987492	1.05103347469853	1037887.147997
non-bleached_k4_03	988979	0.996831280823599	985845.203277642
non-bleached_44_02	987922	0.998784447470368	986721.128913821
non-bleached_44_03	990482	1.02306999411129	1013332.41390734
