bleached_44_01	bleached_44_02	bleached_k4_01	bleached_k4_02	bleached_k4_03	bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
TRINITY_GG_58762_c0_g1	-0.776453799328728	-0.776453799328728	-0.776453799328728	-0.776453799328728	-0.776453799328728	-0.776453799328728	0.838020483508973	0.940756499690868	0.559829588535705	0.0407601249295987	0.946449339231721	1.3329067600755
TRINITY_GG_36426_c1_g1	-0.498282160660318	-0.498282160660318	-0.498282160660318	-0.498282160660318	-0.498282160660318	-0.498282160660318	0.523908078973748	0.929860230318013	-0.026314372998802	1.26172582617175	-0.126444543329897	0.426957744827093
TRINITY_GG_57259_c55_g1	-0.734677183241565	-0.734677183241565	-0.734677183241565	-0.734677183241565	-0.734677183241565	-0.734677183241565	0.814745562505098	1.25227977928284	0.677291327118568	0.777802563678067	1.62062105010639	-0.734677183241565
TRINITY_GG_55862_c80_g1	-0.61984499302694	-0.61984499302694	-0.61984499302694	-0.61984499302694	-0.61984499302694	-0.61984499302694	1.12646777339852	0.390934845726302	1.02123855968513	-0.61984499302694	1.35248004853021	0.447793723848423
TRINITY_GG_28245_c0_g1	-0.991478710534942	-1.09312878662938	-1.09312878662938	-1.09312878662938	-1.09312878662938	-1.09312878662938	2.23742961340143	1.19404796510222	1.84459223913242	-1.09312878662938	1.1012735053092	1.17290810736594
TRINITY_GG_6657_c22_g2	-0.852216681029872	-0.852216681029872	-0.852216681029872	-0.852216681029872	-0.852216681029872	-0.852216681029872	1.544764778462	0.731783702255901	-0.852216681029872	0.963768546171172	2.23999075706722	0.485208983252816
TRINITY_GG_104518_c0_g1	-1.28760974978058	-1.28760974978058	-1.28760974978058	-1.28760974978058	-1.28760974978058	-1.28760974978058	-1.28760974978058	-1.18461575645725	3.89377113314398	-1.15799701165011	4.27762183202492	3.18448805140249
TRINITY_GG_81462_c1_g1	-0.77691838319688	-0.77691838319688	-0.77691838319688	-0.77691838319688	-0.77691838319688	-0.77691838319688	1.54904361297497	2.01447896495775	-0.77691838319688	-0.0413962059003421	1.59157061744822	0.324731692897555
TRINITY_GG_91700_c0_g1	-0.809564070369585	-0.809564070369585	-0.809564070369585	-0.809564070369585	-0.809564070369585	-0.809564070369585	0.791181427592499	0.767683465223566	-0.360663119224457	1.46514486884513	1.73936569910681	0.454672080673962
TRINITY_GG_102123_c0_g1	-0.810032850253783	-0.810032850253783	-0.810032850253783	-0.810032850253783	-0.810032850253783	-0.810032850253783	-0.810032850253783	0.848978320944367	1.73420522389789	0.958045584762672	0.531952896974833	1.59704792519672
TRINITY_GG_56707_c89_g1	-0.632436433258576	0.0402151960698084	-0.247281536374232	1.19619514842944	0.820159001444293	2.61776722324072	-0.632436433258576	-0.632436433258576	-0.632436433258576	-0.632436433258576	-0.632436433258576	-0.632436433258576
TRINITY_GG_26042_c0_g1	1.65194384419164	0.342778603638758	0.951576143773807	0.90495681751426	0.85477961743377	-0.672290718078891	-0.672290718078891	-0.672290718078891	-0.672290718078891	-0.672290718078891	-0.672290718078891	-0.672290718078891
TRINITY_GG_90575_c0_g2	-0.615744414843703	-0.615744414843703	-0.615744414843703	-0.615744414843703	-0.615744414843703	-0.615744414843703	2.41229423724013	0.931211763297708	0.809177673366985	0.232252491711247	-0.615744414843703	-0.0747252617101439
TRINITY_GG_27572_c0_g8	-0.802083894946093	-0.802083894946093	-0.802083894946093	-0.802083894946093	-0.802083894946093	-0.802083894946093	-0.802083894946093	1.39200315717021	0.380608402570097	0.535341769336595	1.91337023216962	1.39326370337613
TRINITY_GG_70323_c0_g1	-1.00568772455422	-1.00568772455422	-1.00568772455422	-1.00568772455422	-1.00568772455422	-1.00568772455422	1.36308062453611	1.22942659582214	0.462113431934185	1.54052766022514	2.44466575936198	-1.00568772455422
TRINITY_GG_63983_c3_g3	-0.850599608857129	-0.850599608857129	-0.850599608857129	-0.850599608857129	-0.850599608857129	-0.850599608857129	1.50667086682243	0.443947625038386	0.82386104270313	-0.850599608857129	1.30741419773264	1.87230352970332
TRINITY_GG_3307_c27_g1	-0.646712751683372	-0.646712751683372	-0.646712751683372	-0.646712751683372	-0.646712751683372	-0.646712751683372	1.31602133891243	0.500593947096921	-0.646712751683372	0.307111202257795	1.3015142921958	1.10174848132066
TRINITY_GG_57141_c51_g1	-0.785149910753781	-0.785149910753781	-0.785149910753781	-0.785149910753781	-0.785149910753781	-0.785149910753781	0.771647335838963	1.38797752272688	0.148422727507244	0.704906713710531	0.853155666053312	0.844789498685759
TRINITY_GG_15204_c5_g1	1.94813092126274	0.932409280305599	1.9086025570761	0.0205075819135943	-0.917589979160499	1.61347951356546	-0.917589979160499	-0.917589979160499	-0.917589979160499	-0.917589979160499	-0.917589979160499	-0.917589979160499
TRINITY_GG_93260_c0_g1	-0.490218186457658	-0.490218186457658	-0.490218186457658	-0.490218186457658	-0.490218186457658	-0.490218186457658	0.687380742870076	0.265951141681641	1.05179216907895	0.152252350858164	0.293028910920459	0.490903803336653
TRINITY_GG_66030_c0_g1	1.88935487951733	-0.882466129693078	3.68703133015422	-0.925954911288292	-0.928554362515674	2.97798928544712	-0.986960297564183	-0.984253551852959	-0.988315577176194	-0.984253551852959	-1.01984365937797	-0.853773453797367
TRINITY_GG_64408_c2_g2	-0.604824767314183	-0.604824767314183	-0.604824767314183	-0.604824767314183	-0.604824767314183	-0.604824767314183	1.55318903927559	1.02790875863635	-0.0314502408682383	0.122877905523056	1.56124790863252	-0.604824767314183
TRINITY_GG_104888_c0_g1	-0.600386838765527	-0.600386838765527	-0.600386838765527	-0.600386838765527	-0.600386838765527	-0.600386838765527	1.15876899503475	-0.600386838765527	0.784768058118817	0.926182821732257	1.23027413563424	0.102713860838633
TRINITY_GG_77014_c0_g1	-1.20820452087424	-1.20820452087424	-1.20820452087424	-1.20820452087424	-1.20820452087424	-1.20820452087424	3.08266217875076	2.8216900287891	-1.20820452087424	-1.20820452087424	1.43841898760234	2.32286497185171
TRINITY_GG_53997_c141_g1	-0.661443281531074	-0.661443281531074	-0.661443281531074	-0.661443281531074	-0.661443281531074	-0.661443281531074	0.828099654111399	0.670261934967818	-0.661443281531074	0.747811865153763	1.59435955507164	0.789569961412899
TRINITY_GG_56719_c17_g2	-0.540926895222533	-0.540926895222533	-0.540926895222533	-0.540926895222533	-0.540926895222533	-0.540926895222533	0.238963144117514	0.801627850254787	0.837584728031197	1.04979487478731	0.858517669366925	-0.540926895222533
TRINITY_GG_61790_c2_g1	0.0679570901369719	0.473063246786041	2.16282046135092	0.593718978063186	-0.0650421732397917	0.247770934943798	-0.580048089673521	-0.580048089673521	-0.580048089673521	-0.580048089673521	-0.580048089673521	-0.580048089673521
TRINITY_GG_3559_c77_g1	-0.652514416135116	-0.652514416135116	-0.652514416135116	-0.652514416135116	-0.652514416135116	-0.652514416135116	0.636139447470054	-0.652514416135116	1.06425704028311	1.86954133302585	0.944420726252116	0.0532423659146818
TRINITY_GG_36378_c1_g1	-0.60700388498786	-0.60700388498786	-0.60700388498786	-0.60700388498786	-0.60700388498786	-0.60700388498786	0.594002581068233	1.15342998968225	0.904970096793941	1.32392264607617	0.272701881294428	-0.60700388498786
TRINITY_GG_72867_c0_g1	-0.682306471236282	-0.682306471236282	-0.682306471236282	-0.682306471236282	-0.682306471236282	-0.682306471236282	1.52745879473782	0.702295986414473	0.0110132075752923	1.78419014131579	0.751187168610598	-0.682306471236282
TRINITY_GG_54896_c40_g4	-0.694986936695935	-0.694986936695935	-0.694986936695935	-0.694986936695935	-0.694986936695935	-0.694986936695935	-0.694986936695935	0.776980850965581	0.98353574018756	0.82102821030773	1.21919485830634	1.06416889710434
TRINITY_GG_21549_c0_g3	-0.909081677295329	-0.909081677295329	-0.909081677295329	-0.909081677295329	-0.909081677295329	-0.909081677295329	0.0131161711010381	1.05328225421162	2.45982632573644	-0.909081677295329	1.86554727007588	0.971799719942322
TRINITY_GG_11961_c1_g1	-1.11222442590222	-1.11222442590222	-1.11222442590222	-1.11222442590222	-1.11222442590222	-1.11222442590222	0.829633093101223	-1.11222442590222	1.49705775401435	0.191702410578478	3.36862231077044	1.89855541285103
TRINITY_GG_90813_c0_g2	-0.656509266370769	-0.656509266370769	-0.656509266370769	-0.656509266370769	-0.656509266370769	-0.656509266370769	0.391029122392591	1.4865575660073	0.260349498328985	0.261876968075579	0.939948873188216	0.599293570231949
TRINITY_GG_57924_c29_g1	-0.360487076606668	-0.360487076606668	-0.360487076606668	-0.360487076606668	-0.360487076606668	-0.360487076606668	0.885008586213253	-0.00998982952253458	0.26337978524603	0.114597806342115	0.803655572241639	0.106270539119504
TRINITY_GG_87357_c4_g1	-0.65709954421392	-0.65709954421392	-0.65709954421392	-0.65709954421392	-0.65709954421392	-0.65709954421392	0.203664658414907	1.03085694983056	1.55702526113893	-0.65709954421392	1.46092787837687	0.347222061736173
TRINITY_GG_62221_c34_g1	-1.46386449761602	-1.46386449761602	-1.46386449761602	-1.46386449761602	-1.46386449761602	-1.46386449761602	2.62901946806247	2.21780964417682	1.20130084455477	-1.46386449761602	3.07950765022574	1.11941387629233
TRINITY_GG_98604_c1_g1	-1.01191454438923	-1.01191454438923	-1.01191454438923	-1.01191454438923	-1.01191454438923	-1.01191454438923	0.48939720485443	0.353218049063301	2.42291381203068	0.310013550498133	1.40654529319176	1.08939935669707
