non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
TRINITY_GG_27180_c0_g1	-0.999387864783271	-0.999387864783271	-0.999387864783271	0.166684811163435	1.25943253209314	1.57204625109324
TRINITY_GG_102362_c0_g1	0.830502526316917	0.460678955661522	2.07878280089431	-1.12332142762425	-1.12332142762425	-1.12332142762425
TRINITY_GG_20030_c1_g2	-0.89619082024352	-0.89619082024352	-0.89619082024352	0.0980268271624739	2.07097778728911	0.519567846278978
TRINITY_GG_62036_c8_g1	-2.49686474730489	-2.49686474730489	-2.49686474730489	2.37379587937439	2.37537302633756	2.74142533620274
TRINITY_GG_19072_c0_g1	1.65730873356891	2.31924323791753	-0.617008174179661	-1.11984793243559	-1.11984793243559	-1.11984793243559
TRINITY_GG_81219_c2_g1	-0.861851538832794	-0.861851538832794	-0.861851538832794	0.938478934091842	0.588633921028326	1.05844176137821
TRINITY_GG_5455_c6_g1	2.29840241684002	1.9662091631182	0.899286912849352	-1.72129949760253	-1.72129949760253	-1.72129949760253
TRINITY_GG_3071_c136_g1	0.887261151091432	0.259040933254318	1.57672145079056	-0.907674511712104	-0.907674511712104	-0.907674511712104
TRINITY_GG_69359_c3_g1	-1.07134918409109	-1.07134918409109	-1.07134918409109	1.71775403341029	0.380191648926742	1.11610186993624
TRINITY_GG_101585_c0_g1	2.18934256099352	1.47755786925842	-0.287360067020619	-1.12651345441044	-1.12651345441044	-1.12651345441044
TRINITY_GG_46618_c0_g2	-1.15623318662162	-1.15623318662162	-1.15623318662162	1.51641844270676	1.40985130389384	0.542429813264262
TRINITY_GG_4520_c12_g1	0.568415258950798	1.45158433282411	1.05983318357026	-1.02661092511506	-1.02661092511506	-1.02661092511506
TRINITY_GG_25181_c0_g2	-1.16302772393938	-1.16302772393938	-1.16302772393938	0.788560070875377	0.344386375076063	2.35613672586669
TRINITY_GG_21651_c0_g1	-0.233240940397675	1.4310773934151	2.66122037755429	-1.28635227685724	-1.28635227685724	-1.28635227685724
TRINITY_GG_57074_c24_g1	0.383705140077536	1.7944723472684	0.554348794108003	-0.910842093817979	-0.910842093817979	-0.910842093817979
TRINITY_GG_63477_c0_g1	-0.931667471173642	-0.931667471173642	-0.931667471173642	1.51061256407894	0.791672649077529	0.492717200364455
TRINITY_GG_18826_c40_g1	-0.929906552282752	-0.929906552282752	-0.929906552282752	1.68197401482001	1.25944361791292	-0.151697975884665
TRINITY_GG_34629_c0_g1	-1.43745500525348	-1.43745500525348	-1.43745500525348	1.66486718594321	1.33907014616844	1.30842768364878
