non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
non-bleached_44_01	1	0.763237577642479	0.723524248521831	-0.861161405256317	-0.850702075512045	-0.853295180184589
non-bleached_44_02	0.763237577642479	1	0.740601778867615	-0.876443538551844	-0.867152818838465	-0.867499549563791
non-bleached_44_03	0.723524248521831	0.740601778867615	1	-0.859438603804551	-0.848114962417302	-0.848236987867608
non-bleached_k4_01	-0.861161405256317	-0.876443538551844	-0.859438603804551	1	0.84371873276654	0.84554239103687
non-bleached_k4_02	-0.850702075512045	-0.867152818838465	-0.848114962417302	0.84371873276654	1	0.821551674138032
non-bleached_k4_03	-0.853295180184589	-0.867499549563791	-0.848236987867608	0.84554239103687	0.821551674138032	1
