male_bleached_K5_03	female_bleached_K5_06	female_bleached_K5_04	male_bleached_K5_02	male_bleached_K5_01	female_bleached_K5_05
male_bleached_K5_03	1	-0.843223645042616	-0.833484768787895	0.615065059464596	0.683461318130987	-0.82416903505608
female_bleached_K5_06	-0.843223645042616	1	0.823582233711552	-0.761095775825474	-0.810686589834759	0.817356049880978
female_bleached_K5_04	-0.833484768787895	0.823582233711552	1	-0.756026559925417	-0.812229057358253	0.799693206092149
male_bleached_K5_02	0.615065059464596	-0.761095775825474	-0.756026559925417	1	0.508027451477047	-0.761837517542387
male_bleached_K5_01	0.683461318130987	-0.810686589834759	-0.812229057358253	0.508027451477047	1	-0.813128169858507
female_bleached_K5_05	-0.82416903505608	0.817356049880978	0.799693206092149	-0.761837517542387	-0.813128169858507	1
