bleached_44_01	bleached_44_02	bleached_k4_01	bleached_k4_02	bleached_k4_03	bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
bleached_44_01	1	0.687167402168568	0.77221094170741	0.784796212159658	0.30977282809621	0.433793781017996	-0.534033442756969	-0.561083147024628	-0.518896122634766	-0.369889078724889	-0.653306657823729	-0.554849789275131
bleached_44_02	0.687167402168568	1	0.694807314996884	0.721613120628064	0.29963975850057	0.262731680354729	-0.485677127151024	-0.512824659070124	-0.484540808198869	-0.334084882103793	-0.60314184062955	-0.519665785911093
bleached_k4_01	0.77221094170741	0.694807314996884	1	0.710626537916956	0.497585451071183	0.536388067360658	-0.569081191551446	-0.586060169906406	-0.560070424659026	-0.408491214252862	-0.680908752994758	-0.575698123549895
bleached_k4_02	0.784796212159658	0.721613120628064	0.710626537916956	1	0.34866327508399	0.322710489990262	-0.516084125810066	-0.545852747967968	-0.504281917467386	-0.338728806961868	-0.643210571723427	-0.541135785825089
bleached_k4_03	0.30977282809621	0.29963975850057	0.497585451071183	0.34866327508399	1	0.669683625440546	-0.450664098702926	-0.416428434062429	-0.387237492446655	-0.231338058711067	-0.517724450432279	-0.414624936198207
bleached_44_03	0.433793781017996	0.262731680354729	0.536388067360658	0.322710489990262	0.669683625440546	1	-0.47615692786268	-0.43452538296277	-0.40012456747168	-0.257792548699425	-0.540501054572973	-0.411342644886671
non-bleached_k4_01	-0.534033442756969	-0.485677127151024	-0.569081191551446	-0.516084125810066	-0.450664098702926	-0.47615692786268	1	0.409814891060808	0.130084961382283	0.0727504840289914	0.488578456565096	0.269901581771635
non-bleached_k4_02	-0.561083147024628	-0.512824659070124	-0.586060169906406	-0.545852747967968	-0.416428434062429	-0.43452538296277	0.409814891060808	1	0.233434828061993	0.182877886436242	0.366641825288028	0.237394077755581
non-bleached_44_01	-0.518896122634766	-0.484540808198869	-0.560070424659026	-0.504281917467386	-0.387237492446655	-0.40012456747168	0.130084961382283	0.233434828061993	1	0.109678114644861	0.437170064049872	0.411639532663092
non-bleached_k4_03	-0.369889078724889	-0.334084882103793	-0.408491214252862	-0.338728806961868	-0.231338058711067	-0.257792548699425	0.0727504840289914	0.182877886436242	0.109678114644861	1	0.11496933765181	0.0480229432330642
non-bleached_44_02	-0.653306657823729	-0.60314184062955	-0.680908752994758	-0.643210571723427	-0.517724450432279	-0.540501054572973	0.488578456565096	0.366641825288028	0.437170064049872	0.11496933765181	1	0.455698974226665
non-bleached_44_03	-0.554849789275131	-0.519665785911093	-0.575698123549895	-0.541135785825089	-0.414624936198207	-0.411342644886671	0.269901581771635	0.237394077755581	0.411639532663092	0.0480229432330642	0.455698974226665	1
