b_44_01	b_44_02	b_44_03	b_k4_01	b_k4_02	b_k4_03	bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03	nb_44_04	nb_44_05	nb_44_06	nb_k4_04	nb_k4_05	nb_k4_06	non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
b_44_01	1	0.17982979913928	0.181176758584851	0.0174825688634346	0.0760835312177976	0.153725938151425	0.999999293558271	0.179941403439276	0.18135311434253	0.0174920531301784	0.0761544266144381	0.153690619538408	-0.101123857439741	-0.156273218058427	-0.0552866083789856	-0.0570383600004117	-0.338974796761746	-0.19513727942013	-0.101042780548823	-0.156251369077985	-0.055268270770884	-0.05701397618673	-0.338979400111083	-0.195126056733597
b_44_02	0.17982979913928	1	0.653291438847384	0.322623748039238	0.19579978474338	0.319547298442058	0.179679173973533	0.999999786576872	0.652531515635536	0.322704985747131	0.197215369440986	0.319744109633972	-0.165292635960894	-0.0267049486471562	-0.390511382996347	-0.308079262849954	-0.35581006095023	-0.201603587089032	-0.165232661926733	-0.0267036226949808	-0.390498864415824	-0.30795935621256	-0.355818536794404	-0.201567157843625
b_44_03	0.181176758584851	0.653291438847384	1	0.207529094014338	0.400549373469201	0.268976517776228	0.18101016960357	0.653340652897593	0.9999854445293	0.207567173412742	0.401015283164778	0.269119290938576	-0.262814978977794	-0.0503584398042141	-0.277098947428434	-0.225480276744457	-0.403538000541466	-0.295725133620189	-0.262754776264374	-0.0503618618380607	-0.277086232802053	-0.22537394488132	-0.403548415941094	-0.295704806348821
b_k4_01	0.0174825688634346	0.322623748039238	0.207529094014338	1	0.588677250811665	0.530191801681478	0.0173804657798864	0.322559818102239	0.20632186815645	0.999999879185904	0.587619818117206	0.530291131068419	-0.379081669363697	-0.226726397107659	-0.405387884498933	-0.180438911415789	-0.187035337828636	0.0131871714418595	-0.379093541986738	-0.226722287395937	-0.405379445800996	-0.180290237371005	-0.187040336528841	0.0131302241729157
b_k4_02	0.0760835312177976	0.19579978474338	0.400549373469201	0.588677250811665	1	0.358490202883462	0.0759567188404389	0.195778418558349	0.400356912862544	0.588685024074985	0.999972796690904	0.358571956973559	-0.349286645061533	-0.25000985879927	-0.365161751827559	-0.121216006292076	-0.263087737751756	-0.011455219938673	-0.349292687596861	-0.249992953849487	-0.365150299003983	-0.121076017639718	-0.263093491223611	-0.0115181619291527
b_k4_03	0.153725938151425	0.319547298442058	0.268976517776228	0.530191801681478	0.358490202883462	1	0.153525382250151	0.319462473299851	0.26873238092344	0.530172339360801	0.359214327260498	0.999999829174484	-0.500011296845435	-0.293035117824676	-0.106749969342064	-0.0179438605596393	-0.369770272255425	-0.139682058738533	-0.500023824205951	-0.29302566399508	-0.106732029165045	-0.0177774330088932	-0.369777184907759	-0.139685578478392
bleached_44_01	0.999999293558271	0.179679173973533	0.18101016960357	0.0173804657798864	0.0759567188404389	0.153525382250151	1	0.179790733495885	0.181186455484341	0.0173899476354552	0.0760275656882964	0.153490088986766	-0.100841525659229	-0.156304003408023	-0.054952754071607	-0.0571713641036093	-0.338960700254735	-0.195163199621808	-0.100760525898315	-0.156282149899595	-0.054934416486804	-0.057146912106467	-0.338965306180915	-0.19515197112998
bleached_44_02	0.179941403439276	0.999999786576872	0.653340652897593	0.322559818102239	0.195778418558349	0.319462473299851	0.179790733495885	1	0.652579507176531	0.322641100785933	0.197195078999984	0.319659423646905	-0.165267358077855	-0.0266869452128949	-0.390481985940708	-0.30808696040135	-0.355855912241619	-0.201618555779828	-0.165207232327473	-0.0266855807879401	-0.390469471038151	-0.307967157621063	-0.355864390668674	-0.201582130449667
bleached_44_03	0.18135311434253	0.652531515635536	0.9999854445293	0.20632186815645	0.400356912862544	0.26873238092344	0.181186455484341	0.652579507176531	1	0.206358914564706	0.400824984081346	0.268872719522949	-0.262606335013938	-0.0498896619482112	-0.276956191812169	-0.22529235597036	-0.403427353729076	-0.295672475322294	-0.262546067948943	-0.0498931727058297	-0.276943458327221	-0.225186237957843	-0.403437755933107	-0.295652159692362
bleached_k4_01	0.0174920531301784	0.322704985747131	0.207567173412742	0.999999879185904	0.588685024074985	0.530172339360801	0.0173899476354552	0.322641100785933	0.206358914564706	1	0.587627588792181	0.530271763076501	-0.379061303546526	-0.226847015032042	-0.405376254092624	-0.1804278036818	-0.18703593778777	0.0131851856049755	-0.379073155387907	-0.226842878080158	-0.405367800595276	-0.180279118643418	-0.187040949638377	0.0131282691114641
bleached_k4_02	0.0761544266144381	0.197215369440986	0.401015283164778	0.587619818117206	0.999972796690904	0.359214327260498	0.0760275656882964	0.197195078999984	0.400824984081346	0.587627588792181	1	0.359297424889908	-0.349440393849052	-0.250039384903133	-0.365178844676945	-0.121499535142662	-0.263302900153318	-0.0116538087120052	-0.349446516335954	-0.250022450335329	-0.365167401957641	-0.121359406019298	-0.263308670026565	-0.011716680366668
bleached_k4_03	0.153690619538408	0.319744109633972	0.269119290938576	0.530291131068419	0.358571956973559	0.999999829174484	0.153490088986766	0.319659423646905	0.268872719522949	0.530271763076501	0.359297424889908	1	-0.499993565814524	-0.293133396061166	-0.106858599305533	-0.0179609664962994	-0.369830686126212	-0.13969685069804	-0.50000609651834	-0.293123940185876	-0.106840654653642	-0.0177943388337763	-0.369837597949283	-0.139700347778158
nb_44_04	-0.101123857439741	-0.165292635960894	-0.262814978977794	-0.379081669363697	-0.349286645061533	-0.500011296845435	-0.100841525659229	-0.165267358077855	-0.262606335013938	-0.379061303546526	-0.349440393849052	-0.499993565814524	1	-0.0818953224044592	-0.167258815206475	-0.32901342312249	0.532160414499586	-0.0789996450426085	0.999999947487739	-0.0818847223166286	-0.167158524332463	-0.328819386687283	0.53217013402063	-0.078945915872199
