description	log10pvalue	representative
heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules	1.5914	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
negative regulation of circadian rhythm	5.1667	negative regulation of circadian rhythm
negative regulation of transcription, DNA-templated	1.98	negative regulation of circadian rhythm
