b_44_01	b_44_02	b_44_03	nb_44_04	nb_44_05	nb_44_06	b_k4_01	b_k4_02	b_k4_03	nb_k4_04	nb_k4_05	nb_k4_06
TRINITY_DN174506_c6_g2	2.41925745325946	4.45965423316378	3.98537552198616	1.03004122857629	1.19062897899971	-0.978487883116556	-1.86225413107661	-1.9909453540538	-2.35179075296905	-1.98148502480473	-1.82716930189164	-2.09282496807301
TRINITY_DN186681_c1_g1	-0.483825542654498	-0.483825542654498	-0.483825542654498	-0.483825542654498	-0.483825542654498	-0.483825542654498	0.5262381406902	1.28298160864842	0.570675673528063	0.10593794433048	0.516895624589156	-0.0997757358593379
TRINITY_DN194904_c2_g7	-1.91386440222561	-1.91386440222561	-1.91386440222561	-1.91386440222561	-1.91386440222561	-1.91386440222561	-1.91386440222561	2.99864176078982	4.12459372873774	-1.39281366532465	4.10852560594044	3.55810338543591
TRINITY_DN194233_c0_g1	-0.402366318141014	-0.402366318141014	-0.402366318141014	-0.402366318141014	-0.402366318141014	-0.402366318141014	0.906227550443262	-0.0655116790155487	0.0758289397981521	0.669396351159078	0.229901897358499	0.59835484910264
TRINITY_DN194641_c1_g2	-0.987678021922628	-0.987678021922628	-0.987678021922628	-0.987678021922628	-0.987678021922628	-0.987678021922628	-0.987678021922628	1.12835397152448	1.47751286600335	1.30097584168254	1.47881859062945	1.52808488361857
TRINITY_DN100277_c0_g1	-0.562888642390458	-0.562888642390458	-0.562888642390458	-0.562888642390458	-0.562888642390458	-0.562888642390458	0.463557337913343	0.24033839404447	0.84745246222363	1.15432165662914	0.276264744999364	0.3953972585328
TRINITY_DN97932_c0_g1	0.459670285669401	0.809389847932532	0.295927525131391	0.070827689718047	0.292506788399227	0.833128681196845	-0.460241803007907	-0.460241803007907	-0.460241803007907	-0.460241803007907	-0.460241803007907	-0.460241803007907
TRINITY_DN175630_c5_g2	-0.681957484389705	-0.681957484389705	-0.681957484389705	-0.681957484389705	-0.681957484389705	-0.681957484389705	0.906847082625845	0.291102688414379	0.59781093720389	0.61552743132087	0.343780077023903	1.33667668974935
TRINITY_DN176390_c2_g1	3.66173585394178	3.34396718770641	1.57557039638243	1.34978690886103	-0.288110624844333	0.744532164694804	-2.00226392511512	-1.67502025045793	-1.94763684636301	-1.08284065093976	-1.60167098227885	-2.07804923158746
TRINITY_DN82454_c0_g1	-0.571530570547567	-0.571530570547567	-0.571530570547567	-0.571530570547567	-0.571530570547567	-0.571530570547567	0.765324068577898	0.496108146327797	0.0532721947053805	0.5152531955945	0.254661965689035	1.34456385239079
TRINITY_DN169763_c1_g1	1.26159335631427	3.21380521233888	1.03446426041991	0.505842570331907	1.64038141227921	2.1259329286006	-1.66952234344352	-1.43440802306716	-1.66952234344352	-1.66952234344352	-1.66952234344352	-1.66952234344352
TRINITY_DN187296_c1_g3	1.61629906075344	0.519060565198775	0.493175823831119	0.187310116092003	-0.132919691323334	0.776232182241688	-0.576526342798949	-0.576526342798949	-0.576526342798949	-0.576526342798949	-0.576526342798949	-0.576526342798949
TRINITY_DN180061_c9_g2	0.733663326530545	2.82091172280909	1.53576106115886	1.80264993672185	0.744836238449803	1.76404573827243	-1.6295077505887	-1.25432927099909	-1.6295077505887	-1.6295077505887	-1.6295077505887	-1.6295077505887
TRINITY_DN169836_c8_g1	0.589524735638677	0.0214244521048896	0.705769221619424	0.919280244771612	0.948617102508642	-0.019583852414182	-0.52750531737151	-0.52750531737151	-0.52750531737151	-0.52750531737151	-0.52750531737151	-0.52750531737151
TRINITY_DN221847_c0_g1	-0.463687652434805	-0.463687652434805	-0.463687652434805	-0.463687652434805	-0.463687652434805	-0.463687652434805	0.0832685257066061	0.750437152918042	1.32416268175649	0.286490053158252	0.297597620926814	0.0401698801426237
TRINITY_DN165926_c3_g1	-0.468336272448549	-0.468336272448549	-0.468336272448549	-0.468336272448549	-0.468336272448549	-0.468336272448549	0.713084367831593	0.0736740830880601	0.276685876588716	1.04110622063163	0.515706153648475	0.189760932902822
TRINITY_DN167175_c5_g1	1.16712672155735	0.1675883101202	0.586773474088781	0.282000100240486	0.803633021756401	-0.146744818458956	-0.476729468217377	-0.476729468217377	-0.476729468217377	-0.476729468217377	-0.476729468217377	-0.476729468217377
TRINITY_DN168176_c4_g4	2.24541828593709	0.300528280172843	0.272720371987983	0.0236569187949505	0.442370076217192	-0.0917385155099221	-0.532159236266689	-0.532159236266689	-0.532159236266689	-0.532159236266689	-0.532159236266689	-0.532159236266689
TRINITY_DN180966_c5_g4	-1.30751749288971	-1.30751749288971	-1.30751749288971	-1.30751749288971	-1.30751749288971	-1.30751749288971	2.82242489108725	2.67679842125734	2.69994714293201	1.99553259179197	-1.30751749288971	-1.04208059684061
TRINITY_DN172363_c5_g3	-0.426069536032283	-0.426069536032283	-0.426069536032283	-0.426069536032283	-0.426069536032283	-0.426069536032283	0.375503033431315	0.00475096048748863	0.781198637079746	-0.166646383750868	0.636052175875515	0.9255587930705
TRINITY_DN172044_c0_g1	-0.483902212322668	-0.483902212322668	-0.483902212322668	-0.483902212322668	-0.483902212322668	-0.483902212322668	0.508866218446256	0.562239569322053	0.126797849812097	0.814756103241847	0.838602845196215	0.0521506879175416
TRINITY_DN127559_c0_g2	-0.483739084539342	-0.483739084539342	-0.483739084539342	-0.483739084539342	-0.483739084539342	-0.483739084539342	0.362653936313018	1.03932097725591	0.160578693798235	0.192528323726547	0.34894843190019	0.798404144242156
TRINITY_DN172002_c1_g5	1.18439048552061	0.736931508549386	-0.0821702989668241	1.14919548238404	0.0653718009410812	-0.105166304518316	-0.491425445651662	-0.491425445651662	-0.491425445651662	-0.491425445651662	-0.491425445651662	-0.491425445651662
TRINITY_DN196752_c0_g1	-0.811237795863911	-0.811237795863911	-0.811237795863911	-0.811237795863911	-0.811237795863911	-0.811237795863911	0.478596669313598	0.440329824744336	0.867735511990259	0.23630059289945	1.79851716630853	1.04594700992729
TRINITY_DN118649_c0_g1	-0.474853058001633	-0.474853058001633	-0.474853058001633	-0.474853058001633	-0.474853058001633	-0.474853058001633	0.747333249320479	0.0848834664313495	-0.0376253190887233	0.691862386964789	0.515012564864654	0.84765199951725
TRINITY_DN178574_c9_g1	-1.39948209160354	-1.48549113012798	-1.32256518153939	-2.57718554712626	-0.392253074191335	-2.07327330182586	1.19500967468483	1.40822275143588	1.15734193927389	2.09284726520754	1.65571592042679	1.74111277538541
TRINITY_DN21105_c0_g1	-1.05972651339404	-1.35745435808406	-1.81018688323417	-1.67624653690325	-0.914093949326463	-1.21160349162061	0.47166108271235	1.33091433157734	0.973930418318796	2.62371816822495	1.325818571053	1.30326916067615
TRINITY_DN183740_c4_g8	-0.585436299869726	-0.585436299869726	-0.585436299869726	-0.585436299869726	-0.585436299869726	-0.585436299869726	0.673986852411689	0.636131488668683	0.989876030817711	0.43675393976434	0.18179473715415	0.594074750401784
TRINITY_DN191947_c2_g3	-1.63986271838478	-1.41442583262992	-1.75356321754951	-1.62131541925107	-1.64520603945909	-1.67086062821926	-1.61868516320639	4.54212307803411	2.85701874094303	3.54656050701951	1.99929239474273	-1.58107570203937
TRINITY_DN167725_c2_g3	-2.30820556021942	-0.163494326028794	-0.530961586885978	-2.62904338863443	-1.05479204475562	-1.87865349449346	1.48098081281241	0.324933176265771	2.21408733127115	1.64844269209804	1.01080201548691	1.88590437308343
TRINITY_DN173248_c11_g1	1.56445399186152	0.679720211834515	1.00177490889307	-0.0335958298199127	-0.0211943634201592	-0.139074642736858	-0.508680712768696	-0.508680712768696	-0.508680712768696	-0.508680712768696	-0.508680712768696	-0.508680712768696
TRINITY_DN163140_c6_g2	-0.469576514317878	-0.469576514317878	-0.469576514317878	-0.469576514317878	-0.469576514317878	-0.469576514317878	0.264211654307304	0.0979689333258685	0.303575882696174	0.510083037397946	1.46965006341033	0.171969514769646
TRINITY_DN182639_c1_g1	2.16233602571096	4.61666969582167	3.52367179686176	1.38720608310081	2.40733300602998	-1.98194338457492	-3.05762374398296	-1.55001078586905	-2.12012684509426	-1.24445498009646	-2.08488195102738	-2.05817491688016
