group	lib.size	norm.factors	eff.lib.size
bleached_male_K5_01	999117	0.99399231449299	993114.619279292
bleached_male_K5_02	999503	0.953330735032905	952856.929657593
bleached_male_K5_03	998698	1.13387108025308	1132394.78010659
bleached_female_K5_04	998807	1.03804748738683	1036809.09673438
bleached_female_K5_05	998824	0.914580405756531	913504.859199362
bleached_female_K5_06	998837	0.545409671333437	544775.359885676
bleached_female_44_01	999090	1.39321850621355	1391950.67737289
bleached_female_44_02	999026	1.06775519856297	1066715.20499957
bleached_female_44_03	998936	1.058590287313	1057463.9472473
non-bleached_female_K5_01	999834	0.638604552243474	638498.543887802
non-bleached_female_K5_02	999058	1.31181059117711	1310574.86560022
non-bleached_female_K5_03	998672	1.03817692233591	1036798.22338305
non-bleached_female_44_01	999411	1.24048293114964	1239752.2867032
non-bleached_female_44_02	999976	1.03716288460314	1037137.99269391
non-bleached_female_44_03	999044	1.02003868727587	1019063.53029083
