B_female_44_01	B_female_44_02	B_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03
TRINITY_DN224309_c0_g1	-0.491508083308081	-0.491508083308081	-0.491508083308081	-0.491508083308081	-0.491508083308081	-0.491508083308081	0.586418495376988	2.25006676411072	0.11256324036078
TRINITY_DN165231_c2_g1	-0.459877110991354	-0.50563237420631	-0.848633478921892	-0.673911844543652	-0.308925270940679	-0.610046517038379	-0.289451781803125	3.97993972240614	-0.283461343960743
TRINITY_DN191134_c1_g1	-0.788920706700167	-0.788920706700167	-0.788920706700167	-0.788920706700167	-0.788920706700167	-0.788920706700167	1.10288729433527	2.39488337215427	1.23575357371146
TRINITY_DN197059_c3_g1	-0.905041982354144	-0.905041982354144	-0.905041982354144	-0.905041982354144	-0.628843117321902	-0.905041982354144	2.81556482829824	1.2471414367009	1.09134676409348
TRINITY_DN163035_c2_g2	-1.4193301205773	0.279986440604858	0.405877404116862	-2.07180784427309	-0.218672868035827	-2.07004415818438	8.03173342623906	-1.32271647584044	-1.61502580404974
TRINITY_DN196978_c1_g2	-1.92871871429865	-1.44737884465165	-1.6317646591895	0.97658388440668	-0.124427924453177	-0.894024151594756	-1.98577845822995	-0.473188031001253	7.50869689901225
TRINITY_DN182792_c8_g1	-0.749386479891238	-0.749386479891238	-0.749386479891238	-0.749386479891238	-0.749386479891238	-0.749386479891238	-0.749386479891238	4.33608066793175	0.909624691306912
TRINITY_DN168267_c0_g1	-0.812778796929499	-0.812778796929499	-0.812778796929499	-0.812778796929499	-0.812778796929499	-0.812778796929499	3.60770360517859	-0.812778796929499	2.0817479733279
TRINITY_DN179602_c2_g4	-0.570418520675908	-0.570418520675908	-0.570418520675908	-0.570418520675908	-0.570418520675908	-0.570418520675908	2.11641812930017	0.824095621280051	0.48199737347523
TRINITY_DN185903_c2_g4	-0.949769694100168	-0.955685952709679	-2.05567006278937	-0.633827605461426	-0.243837035612617	-0.644187614369397	-0.396408007451493	5.14229776545806	0.737088207036093
TRINITY_DN177614_c1_g3	-0.490920304513121	-0.490920304513121	-0.490920304513121	-0.490920304513121	-0.490920304513121	-0.490920304513121	0.889255007228904	1.90194661171768	0.154320208132144
TRINITY_DN158116_c0_g1	-0.708421970898079	-0.708421970898079	-0.708421970898079	-0.708421970898079	-0.708421970898079	-0.708421970898079	0.829619482435585	2.37530199549493	1.04561034745796
TRINITY_DN198530_c3_g2	-0.764609207632055	-0.523858418263758	-1.11638917262122	-0.56016656734112	-0.626497678658165	-0.564042177572144	3.43662468431387	0.00498596596681988	0.713952571807779
TRINITY_DN80960_c0_g1	-0.757402591622426	-1.12477365727096	-1.0070786146012	-0.104716004929702	-1.12477365727096	-0.88354362175551	0.23137015295432	4.93963499935498	-0.168717004858552
TRINITY_DN132705_c1_g1	-0.472811151767278	-0.472811151767278	-0.472811151767278	-0.472811151767278	-0.472811151767278	-0.472811151767278	0.83461737342497	1.92909231984068	0.073157217338015
TRINITY_DN189861_c2_g4	-0.638314757028854	-0.638314757028854	-0.638314757028854	-0.638314757028854	-0.638314757028854	-0.638314757028854	2.70210508689839	0.576431765653541	0.551351689621196
TRINITY_DN181775_c0_g1	0.938938445932524	1.04635000317256	-0.804373437816722	2.4228310135357	1.58789473697893	1.12026456227395	-1.74262820433458	-2.28463855987119	-2.28463855987119
TRINITY_DN122242_c0_g1	-0.446629571897873	-0.446629571897873	-0.446629571897873	-0.446629571897873	-0.446629571897873	-0.446629571897873	1.71719115459255	0.257357031965558	0.705229244829132
TRINITY_DN179764_c2_g2	1.28868763236094	1.61409185037566	0.720062832523014	0.32544602166056	0.378032649390591	0.904084114261613	-1.81191801210969	-1.96801842661133	-1.45046866185136
TRINITY_DN191750_c6_g1	-0.424563559079656	-0.424563559079656	-0.424563559079656	-0.424563559079656	-0.424563559079656	-0.424563559079656	1.3122577583685	0.137129162318653	1.09799443379078
TRINITY_DN173495_c15_g1	-1.00377543140765	-1.00377543140765	-1.00377543140765	-1.00377543140765	-1.00377543140765	-1.00377543140765	2.34048496357777	-1.00377543140765	4.68594305627576
TRINITY_DN169036_c7_g1	-0.598851690210745	-1.13830354819734	-0.0262283174990228	-1.20662665017084	-0.628248802782981	-1.09114943275091	5.77862428607442	-0.0428463889494399	-1.04636945551314
