group	lib.size	norm.factors	eff.lib.size
B_female_44_01	989970	1.20916923607596	1197041.26863812
B_female_44_02	985046	1.01974153566877	1004492.32074437
B_female_44_03	979692	1.05098852074275	1029645.0458635
B_female_K5_01	982103	1.0264430578294	1008072.80642343
B_female_K5_02	985764	1.04844147977146	1033515.86686543
B_female_K5_03	991040	0.893398933500472	885394.079056308
NB_female_44_01	988031	1.02923803796016	1016919.08788381
NB_female_44_02	979618	0.999125309106083	978761.137055883
NB_female_44_03	982765	1.02455051666976	1006892.38851496
NB_female_k5_01	980452	0.654666838974828	641869.411606548
NB_female_k5_02	977262	1.13909424165289	1113193.51678618
NB_female_k5_03	976786	1.02153012413516	997816.323833482
