group	lib.size	norm.factors	eff.lib.size
B_female_44_01	995125	1.25639595972293	1250271.02941928
B_female_44_02	990843	1.02965194759303	1020223.42470892
B_female_44_03	987767	1.06130450686676	1048321.56883426
B_female_K5_01	988108	1.02608654487658	1013884.3236849
B_female_K5_02	990352	1.03548571041954	1025495.34428541
B_female_K5_03	994388	0.829798474674945	825141.645635069
NB_female_44_01	993077	1.02961331752446	1022485.30452724
NB_female_44_02	986476	1.00203238493926	988480.898965344
NB_female_44_03	989996	1.03218140415694	1021855.46138976
NB_female_k5_01	986669	0.65115587624097	642475.317254802
NB_female_k5_02	985758	1.15824892598749	1141753.14478357
NB_female_k5_03	984392	1.02859277669041	1012538.50063183
