non-bleached_44_01	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_k4_03
TRINITY_GG_13496_c0_g3	1.29989647479318	0.80826217645422	1.25642781254574	-1.12152882126438	-1.12152882126438	-1.12152882126438
TRINITY_GG_31353_c0_g1	0.254769243061768	0.963157714318351	1.3748376228614	-0.864254860080506	-0.864254860080506	-0.864254860080506
TRINITY_GG_72023_c47_g1	0.584396130391457	1.21056693359206	0.95425470401358	-0.916405922665701	-0.916405922665701	-0.916405922665701
TRINITY_GG_39409_c0_g1	1.66265449020934	2.31454054324189	-0.617932809297124	-1.11975407471803	-1.11975407471803	-1.11975407471803
TRINITY_GG_7459_c11_g2	-0.968190264071218	-0.968190264071218	-0.968190264071218	0.955909621569524	0.830067668573282	1.11859350207085
TRINITY_GG_19196_c37_g1	1.67070971483133	-0.272724723004761	1.47060485575339	-0.956196615859988	-0.956196615859988	-0.956196615859988
TRINITY_GG_29613_c18_g1	-0.88143879715559	-0.88143879715559	-0.88143879715559	1.72784338276098	0.860567413711147	0.0559055949946429
TRINITY_GG_74627_c22_g1	-1.03614154609463	-1.03614154609463	-1.03614154609463	0.871902744130254	0.835702102414683	1.40081979173897
TRINITY_GG_81815_c16_g1	1.64416600556934	1.67895622845751	0.119196923378779	-1.14743971913521	-1.14743971913521	-1.14743971913521
TRINITY_GG_94167_c0_g1	1.98477530480396	1.20364419024079	0.674668074869025	-1.28769585663793	-1.28769585663793	-1.28769585663793
TRINITY_GG_101499_c1_g1	1.28840792816873	2.58917117292044	-0.0467425152474756	-1.2769455286139	-1.2769455286139	-1.2769455286139
TRINITY_GG_41491_c0_g1	-1.29147620575108	-1.29147620575108	-1.29147620575108	2.0171176628332	0.449235527648023	1.40807542677201
TRINITY_GG_18282_c1_g1	0.413656965266663	1.16203793930481	1.26526980700918	-0.946988237193553	-0.946988237193553	-0.946988237193553
TRINITY_GG_13337_c1_g1	1.32301702094119	1.13586468888372	0.804718558938263	-1.08786675625439	-1.08786675625439	-1.08786675625439
TRINITY_GG_24032_c0_g1	1.00757981463372	1.05966037969786	0.759185394476812	-0.942141862936128	-0.942141862936128	-0.942141862936128
TRINITY_GG_90137_c0_g1	1.64938516127543	0.540866731786809	1.57070743345023	-1.25365310883749	-1.25365310883749	-1.25365310883749
TRINITY_GG_21875_c2_g1	0.583530380214653	1.98752740440521	0.45769516419002	-1.00958431626996	-1.00958431626996	-1.00958431626996
TRINITY_GG_46504_c1_g1	0.678673522241141	0.779279985993351	1.20720180393967	-0.888385104058054	-0.888385104058054	-0.888385104058054
TRINITY_GG_33714_c0_g1	-1.18312852435816	-1.18312852435816	-1.18312852435816	1.98438997937705	1.10611576079848	0.458879832898959
TRINITY_GG_46631_c0_g1	0.730338391717085	1.22386869868277	0.525169474227124	-0.826458854875658	-0.826458854875658	-0.826458854875658
TRINITY_GG_14717_c5_g1	-0.990079207910841	-0.990079207910841	-0.990079207910841	-0.0527348157606089	0.980774446429642	2.04219799306349
TRINITY_GG_24743_c1_g1	1.100588371827	1.28937397090777	0.28331422821362	-0.891092190316129	-0.891092190316129	-0.891092190316129
TRINITY_GG_88085_c27_g1	0.644162518182466	0.569389172800388	1.23540216458978	-0.816317951857545	-0.816317951857545	-0.816317951857545
TRINITY_GG_16307_c10_g1	0.984939004968448	0.787950240851707	0.886641986305501	-0.886510410708552	-0.886510410708552	-0.886510410708552
TRINITY_GG_72755_c3_g1	0.926097475309658	0.351610418247064	1.61242030810763	-0.963376067221451	-0.963376067221451	-0.963376067221451
TRINITY_GG_19593_c0_g1	-1.28623446670128	-1.04886783066982	-1.30253627903038	0.877372810984551	2.06246053774886	0.697805227668072
TRINITY_GG_102490_c0_g1	-1.04519632707028	-1.04519632707028	-1.04519632707028	1.10341244313494	0.433516675371444	1.59865986270445
TRINITY_GG_37908_c0_g1	-1.46359593190652	-1.46359593190652	-1.46359593190652	0.82918581732133	2.83996565607457	0.721636322323645
TRINITY_GG_44062_c0_g1	0.674370864899902	1.3302960333606	0.719888516081978	-0.908185138114159	-0.908185138114159	-0.908185138114159
TRINITY_GG_75250_c1_g1	0.362695263238169	0.744744350563102	1.32577579969434	-0.811071804498538	-0.811071804498538	-0.811071804498538
TRINITY_GG_22881_c6_g1	1.02899709862046	0.636654446622766	0.759976062033601	-0.808542535758943	-0.808542535758943	-0.808542535758943
TRINITY_GG_69963_c4_g1	-0.910337299970721	-0.910337299970721	-0.910337299970721	1.44834027134451	0.985740755426344	0.296930873141308
TRINITY_GG_74274_c0_g1	0.961405747399332	0.958502614979103	1.68347135014794	-1.20112657084213	-1.20112657084213	-1.20112657084213
TRINITY_GG_8738_c0_g1	-1.09631200013669	-1.09631200013669	-1.09631200013669	1.15131175605956	2.03544209084812	0.102182153502392
TRINITY_GG_62450_c3_g1	-1.26672021871608	-1.26672021871608	-1.26672021871608	1.10929226901366	1.17980070157711	1.51106768555747
TRINITY_GG_31107_c14_g1	-0.99110536517404	-0.99110536517404	-0.99110536517404	1.4373050601833	1.07136177832667	0.46464925701215
TRINITY_GG_44883_c0_g1	-0.953407493298584	-0.953407493298584	-0.953407493298584	-0.314638548881634	1.84464302146893	1.33021800730846
TRINITY_GG_69372_c0_g1	-1.00635849417396	-1.00635849417396	-1.00635849417396	1.79480016191974	0.437778462413628	0.786496858188526
TRINITY_GG_87197_c8_g2	1.17203999274986	0.632767081128418	0.837363919500817	-0.8807236644597	-0.8807236644597	-0.8807236644597
TRINITY_GG_97096_c6_g1	1.3425397641471	1.49256285933668	1.90558425282628	-1.58022895877002	-1.58022895877002	-1.58022895877002
TRINITY_GG_29817_c1_g1	0.414607203584201	1.15101951105489	1.33938328331528	-0.96833666598479	-0.96833666598479	-0.96833666598479
TRINITY_GG_57298_c0_g1	-0.861316069214416	-0.861316069214416	-0.861316069214416	0.574845770100034	1.31117144629572	0.697930991247497
TRINITY_GG_53451_c0_g1	1.37572174297138	1.09347246876068	0.736051429116567	-1.06841521361621	-1.06841521361621	-1.06841521361621
