GOslim,Count,Percent,Term,go_terms
GO:0006412,692,0.144277580056335,translation,GO:0001731;GO:0001732;GO:0002181;GO:0002183;GO:0002188;GO:0002190;GO:0002192;GO:0006413;GO:0006414;GO:0006417;GO:0006418;GO:0006419;GO:0006420;GO:0006433;GO:0006435;GO:0006446;GO:0006448;GO:0010998;GO:0045727;GO:0017148;GO:0032055;GO:0032056;GO:0032057;GO:0032058;GO:0036490;GO:0036491;GO:0036492;GO:0043555;GO:0043558;GO:0045947;GO:0045948;GO:0060733;GO:0070129;GO:0071262;GO:0071264;GO:1903677;GO:1903679;GO:1904688;GO:1904690;GO:2000767
GO:0006457,195,0.0406562544956435,protein folding,GO:0042026;GO:0006458;GO:0022417;GO:0051084;GO:0051085;GO:0061077;GO:1903332;GO:1904592
GO:0006464,7827,1.63187950737129,cellular protein modification proce...,GO:0000165;GO:0000187;GO:0000414;GO:0001932;GO:0001933;GO:0001934;GO:0007175;GO:0016567;GO:0016570;GO:0006468;GO:0006469;GO:0006470;GO:0006473;GO:0006474;GO:0006475;GO:0006476;GO:0006479;GO:0006486;GO:0006487;GO:0006489;GO:0006493;GO:0006513;GO:0006517;GO:0006975;GO:0007182;GO:0007250;GO:0007254;GO:0007257;GO:0007258;GO:0008213;GO:0010390;GO:0010533;GO:0010799;GO:0010801;GO:0010862;GO:0010998;GO:0016266;GO:0016571;GO:0016573;GO:0016574;GO:0016575;GO:0016579;GO:0017186;GO:0018023;GO:0018105;GO:0018108;GO:0018149;GO:0018158;GO:0018193;GO:0018196;GO:0018205;GO:0018209;GO:0018210;GO:0018212;GO:0018279;GO:0018307;GO:0018393;GO:0018394;GO:0023014;GO:0031056;GO:0031057;GO:0031058;GO:0031060;GO:0031061;GO:0031062;GO:0031365;GO:0031396;GO:0031397;GO:0031399;GO:0031400;GO:0031401;GO:0031952;GO:0031954;GO:0032147;GO:0032446;GO:0032515;GO:0032872;GO:0032873;GO:0032874;GO:0033127;GO:0033128;GO:0033129;GO:0033135;GO:0033137;GO:0033138;GO:0033233;GO:0033235;GO:0033522;GO:0034968;GO:0034972;GO:0035065;GO:0035066;GO:0035067;GO:0035304;GO:0035307;GO:0035308;GO:0035518;GO:0035601;GO:0035616;GO:0036492;GO:0036507;GO:0036508;GO:0036525;GO:0036529;GO:0038083;GO:0043405;GO:0043406;GO:0043408;GO:0043409;GO:0043410;GO:0043506;GO:0043507;GO:0043508;GO:0043543;GO:0043666;GO:0043687;GO:0043966;GO:0043967;GO:0043968;GO:0043981;GO:0043982;GO:0043983;GO:0043984;GO:0045736;GO:0045859;GO:0045860;GO:0046328;GO:0046329;GO:0046330;GO:0046777;GO:0050730;GO:0050731;GO:0050732;GO:0051403;GO:0051438;GO:0051443;GO:0051568;GO:0051569;GO:0051570;GO:0051571;GO:0051697;GO:0060049;GO:0060050;GO:0060393;GO:0060733;GO:0061085;GO:0061086;GO:0061087;GO:0070262;GO:0070372;GO:0070373;GO:0070374;GO:0070534;GO:0070536;GO:0070646;GO:0070647;GO:0070933;GO:0071108;GO:0071894;GO:0071900;GO:0071901;GO:0071902;GO:0071947;GO:0080163;GO:0080182;GO:0090043;GO:0090080;GO:0090085;GO:0090239;GO:0090283;GO:0090284;GO:0097039;GO:0097198;GO:0097676;GO:0106077;GO:1900084;GO:1900086;GO:1900744;GO:1901674;GO:1901675;GO:1901873;GO:1901874;GO:1901983;GO:1901984;GO:1901985;GO:1902569;GO:1903003;GO:1903320;GO:1903321;GO:1903322;GO:1904030;GO:1904380;GO:1904666;GO:1904668;GO:2000480;GO:2000756;GO:2000757;GO:2000758;GO:2001253
GO:0006520,595,0.124053699614912,cellular amino acid metabolic proce...,GO:0000096;GO:0000098;GO:0006418;GO:0006419;GO:0006420;GO:0006433;GO:0006435;GO:0006526;GO:0006532;GO:0006536;GO:0006541;GO:0006561;GO:0008652;GO:0009064;GO:0009084;GO:0009449;GO:0019265;GO:0019482;GO:0019483;GO:0019510;GO:0019676;GO:0043038;GO:0043039;GO:0046946;GO:0046947;GO:0050667;GO:0055129;GO:1901605;GO:1901607
GO:0006605,318,0.0663009688698187,protein targeting,GO:0006612;GO:0006613;GO:0006614;GO:0006620;GO:0006622;GO:0006623;GO:0006626;GO:0006627;GO:0045039;GO:0045041;GO:0045047;GO:0061740;GO:0090313;GO:0090315;GO:1903533
GO:0006629,3070,0.640075391290388,lipid metabolic process,GO:0000038;GO:0001523;GO:0001676;GO:0006489;GO:0006631;GO:0006633;GO:0006635;GO:0006638;GO:0006639;GO:0006641;GO:0006643;GO:0006644;GO:0006650;GO:0006654;GO:0006665;GO:0006667;GO:0006672;GO:0006684;GO:0006685;GO:0006686;GO:0006703;GO:0050810;GO:0008202;GO:0008203;GO:0008610;GO:0008611;GO:0008654;GO:0009062;GO:0010893;GO:0010894;GO:0010896;GO:0010898;GO:0010956;GO:0010957;GO:0016042;GO:0046889;GO:0016094;GO:0016101;GO:0016125;GO:0019216;GO:0019217;GO:0019218;GO:0019369;GO:0019395;GO:0019408;GO:0019432;GO:0019433;GO:0030148;GO:0030258;GO:0030497;GO:0031407;GO:0031408;GO:0031943;GO:0033539;GO:0033559;GO:0034433;GO:0034434;GO:0034435;GO:0034440;GO:0035238;GO:0042304;GO:0042572;GO:0042574;GO:0042761;GO:0043550;GO:0043551;GO:0044242;GO:0044255;GO:0045017;GO:0045540;GO:0045541;GO:0045542;GO:0045723;GO:0045833;GO:0045834;GO:0045923;GO:0045939;GO:0045940;GO:0046320;GO:0046321;GO:0046339;GO:0046460;GO:0046461;GO:0046463;GO:0046464;GO:0046465;GO:0046466;GO:0046467;GO:0046473;GO:0046474;GO:0046485;GO:0046486;GO:0046488;GO:0046511;GO:0046834;GO:0046839;GO:0046854;GO:0046856;GO:0046890;GO:0050994;GO:0050995;GO:0050996;GO:0051055;GO:0051791;GO:0060304;GO:0060556;GO:0060558;GO:0060696;GO:0070640;GO:0090181;GO:0090205;GO:0090206;GO:0090207;GO:0090208;GO:0090215;GO:0090216;GO:0090218;GO:1903725;GO:1903727;GO:2001302;GO:2001303
GO:0006790,551,0.114879980651793,sulfur compound metabolic process,GO:0000096;GO:0000098;GO:0006084;GO:0006085;GO:0006086;GO:0006104;GO:0006749;GO:0006637;GO:0019427;GO:0019510;GO:0030204;GO:0030206;GO:0030210;GO:0035336;GO:0035337;GO:0035338;GO:0035383;GO:0035384;GO:0044272;GO:0044273;GO:0044571;GO:0046949;GO:0050427;GO:0050428;GO:0050667;GO:0061732;GO:0071616;GO:1904826;GO:1904828;GO:2001293;GO:2001295
GO:0006810,17269,3.60047619941163,transport,GO:0000041;GO:0006606;GO:0001504;GO:0001951;GO:0002028;GO:0002090;GO:0002091;GO:0002092;GO:0042306;GO:0002433;GO:0002576;GO:0002741;GO:0002790;GO:0002791;GO:0002792;GO:0002793;GO:0023061;GO:0016192;GO:0046903;GO:0006906;GO:0006405;GO:0006406;GO:0006605;GO:0006611;GO:0006612;GO:0006613;GO:0006614;GO:0006620;GO:0006622;GO:0006623;GO:0006626;GO:0006627;GO:0006811;GO:0006817;GO:0006820;GO:0006821;GO:0006825;GO:0006826;GO:0006835;GO:0006836;GO:0006839;GO:0006851;GO:0006864;GO:0006869;GO:0006886;GO:0006887;GO:0006888;GO:0006890;GO:0006891;GO:0006892;GO:0006893;GO:0006896;GO:0006897;GO:0006898;GO:0006900;GO:0006904;GO:0006909;GO:0006911;GO:0006913;GO:0007034;GO:0007041;GO:0007097;GO:0007589;GO:0007595;GO:0050796;GO:0008088;GO:0008089;GO:0008090;GO:0008333;GO:0008645;GO:0009306;GO:0010155;GO:0010248;GO:0010523;GO:0010793;GO:0010807;GO:0010827;GO:0010828;GO:0010874;GO:0010875;GO:0010959;GO:0010966;GO:0010970;GO:0015031;GO:0015669;GO:0015670;GO:0015677;GO:0015691;GO:0015695;GO:0015696;GO:0015698;GO:0015701;GO:0015705;GO:0015711;GO:0015748;GO:0015833;GO:0015844;GO:0015849;GO:0015850;GO:0015870;GO:0015871;GO:0051180;GO:0051181;GO:0015884;GO:0015886;GO:0015889;GO:0015908;GO:0015914;GO:0015917;GO:0015918;GO:0015931;GO:1902600;GO:0015985;GO:0015986;GO:0015988;GO:0015991;GO:0016079;GO:0046326;GO:0016182;GO:0016197;GO:0016482;GO:0017038;GO:0046887;GO:0017156;GO:0017157;GO:0019532;GO:0019896;GO:0020028;GO:0022027;GO:0022898;GO:0030100;GO:0030301;GO:0030302;GO:0030705;GO:0030970;GO:0031623;GO:0031629;GO:0032024;GO:0032239;GO:0032241;GO:0032365;GO:0032366;GO:0032367;GO:0032368;GO:0032369;GO:0032370;GO:0032371;GO:0032373;GO:0032374;GO:0032376;GO:0032377;GO:0032379;GO:0032380;GO:0032382;GO:0032383;GO:0032385;GO:0032386;GO:0032387;GO:0032388;GO:0032412;GO:0032456;GO:0032472;GO:0032509;GO:0032527;GO:0032594;GO:0032940;GO:0032941;GO:0033157;GO:0033227;GO:0033344;GO:0033700;GO:0034204;GO:0034498;GO:0034499;GO:0034756;GO:0034757;GO:0034759;GO:0034760;GO:0034763;GO:0034766;GO:0035435;GO:0035459;GO:0035547;GO:0035549;GO:0035646;GO:0035721;GO:0035735;GO:0035774;GO:0035794;GO:0036376;GO:0036444;GO:0038096;GO:0042073;GO:0042147;GO:0042307;GO:0042776;GO:0042886;GO:0043001;GO:0043299;GO:0043312;GO:0043321;GO:0043323;GO:0043485;GO:0043691;GO:0044070;GO:0044743;GO:0045022;GO:0045039;GO:0045041;GO:0045047;GO:0045055;GO:0045324;GO:0045332;GO:0045806;GO:0045807;GO:0045921;GO:0046324;GO:0046618;GO:0046676;GO:0046822;GO:0046824;GO:0046825;GO:0046831;GO:0046833;GO:0046879;GO:0046883;GO:0046888;GO:0046902;GO:0046907;GO:0046942;GO:0047496;GO:0047497;GO:0048193;GO:0048194;GO:0048227;GO:0048259;GO:0048260;GO:0048261;GO:0048278;GO:0048488;GO:0048489;GO:0048490;GO:0048549;GO:0050657;GO:0050658;GO:0050663;GO:0050701;GO:0050702;GO:0050707;GO:0050708;GO:0050709;GO:0050714;GO:0050715;GO:0050764;GO:0050765;GO:0050766;GO:0050892;GO:0051028;GO:0051046;GO:0051047;GO:0051048;GO:0051049;GO:0051050;GO:0051051;GO:0051168;GO:0051169;GO:0051170;GO:0051222;GO:0051223;GO:0051224;GO:0051280;GO:0051926;GO:0060003;GO:0060099;GO:0060100;GO:0060123;GO:0060125;GO:0060315;GO:0060471;GO:0060620;GO:0060627;GO:0060628;GO:0061355;GO:0061356;GO:0061357;GO:0061526;GO:0061740;GO:0061741;GO:0065002;GO:0070092;GO:0070142;GO:0070574;GO:0070861;GO:0070862;GO:0071702;GO:0071705;GO:0071806;GO:0071955;GO:0071985;GO:0072321;GO:0072337;GO:0072382;GO:0072384;GO:0072583;GO:0072584;GO:0090087;GO:0090088;GO:0090089;GO:0090110;GO:0090114;GO:0090160;GO:0090276;GO:0090277;GO:0090278;GO:0090313;GO:0090315;GO:0090316;GO:0090317;GO:0090662;GO:0098661;GO:0098693;GO:0098810;GO:0098840;GO:0098876;GO:0098877;GO:0098884;GO:0098887;GO:0098927;GO:0098930;GO:0098935;GO:0098937;GO:0098969;GO:0098971;GO:0099003;GO:0099022;GO:0099041;GO:0099074;GO:0099075;GO:0099111;GO:0099118;GO:0099131;GO:0099132;GO:0099149;GO:0099500;GO:0099504;GO:0099514;GO:0099517;GO:0099518;GO:0099590;GO:0099632;GO:0099637;GO:0099638;GO:0099639;GO:0099640;GO:0099643;GO:0106001;GO:0120012;GO:0150093;GO:1900040;GO:1900042;GO:1901019;GO:1901020;GO:1901374;GO:1901385;GO:1901585;GO:1901678;GO:1901679;GO:1901841;GO:1901998;GO:1902109;GO:1902739;GO:1902741;GO:1902803;GO:1902822;GO:1902823;GO:1903169;GO:1903170;GO:1903305;GO:1903335;GO:1903336;GO:1903513;GO:1903530;GO:1903531;GO:1903532;GO:1903533;GO:1903541;GO:1903543;GO:1903649;GO:1903651;GO:1904062;GO:1904063;GO:1904152;GO:1904153;GO:1904447;GO:1904467;GO:1904469;GO:1904478;GO:1904479;GO:1904589;GO:1904591;GO:1904959;GO:1905000;GO:1905031;GO:1905600;GO:1905602;GO:1990126;GO:1990182;GO:1990504;GO:1990519;GO:1990542;GO:1990832;GO:2000300;GO:2000425;GO:2000482;GO:2000483;GO:2000641;GO:2000643;GO:2000778;GO:2000828;GO:2000830;GO:2000831;GO:2000832;GO:2000846;GO:2000847;GO:2000849;GO:2000850;GO:2000878;GO:2000880;GO:2000909;GO:2001135;GO:2001136;GO:2001138;GO:2001140;GO:2001148;GO:2001150;GO:2001256
GO:0006913,518,0.107999691429453,nucleocytoplasmic transport,GO:0006606;GO:0042306;GO:0006405;GO:0006406;GO:0006611;GO:0010793;GO:0042307;GO:0046822;GO:0046824;GO:0046825;GO:0046831;GO:0046833;GO:0051168;GO:0051170
GO:0006914,506,0.105497768075875,autophagy,GO:0000045;GO:0000422;GO:0010506;GO:0010507;GO:0010508;GO:0016236;GO:0016239;GO:0016241;GO:0016242;GO:0061684;GO:0061724;GO:0061738;GO:0061740;GO:0061741;GO:0097352;GO:1901524;GO:1901525;GO:1903146;GO:1903599;GO:1905037
