bleached_44_01	bleached_44_02	bleached_44_03	bleached_k4_01	bleached_k4_02	bleached_k4_03
bleached_44_01	1	0.82325017571909	0.848355838472306	-0.863818463828388	-0.870614873292312	-0.863188086828277
bleached_44_02	0.82325017571909	1	0.842172703645686	-0.866674330218705	-0.868153291859359	-0.843411927483294
bleached_44_03	0.848355838472306	0.842172703645686	1	-0.874125052167652	-0.880658139204892	-0.865216427554525
bleached_k4_01	-0.863818463828388	-0.866674330218705	-0.874125052167652	1	0.78876919549099	0.737817473064099
bleached_k4_02	-0.870614873292312	-0.868153291859359	-0.880658139204892	0.78876919549099	1	0.759402471313556
bleached_k4_03	-0.863188086828277	-0.843411927483294	-0.865216427554525	0.737817473064099	0.759402471313556	1
