male_bleached_K5_03	female_bleached_K5_06	female_bleached_K5_04	male_bleached_K5_02	male_bleached_K5_01	female_bleached_K5_05
male_bleached_K5_03	1	-0.782491504535557	-0.722875248924495	0.457841593842651	0.506529107324289	-0.760195259425418
female_bleached_K5_06	-0.782491504535557	1	0.669564401485353	-0.645947992043881	-0.771416507849031	0.90697650460226
female_bleached_K5_04	-0.722875248924495	0.669564401485353	1	-0.578851991565679	-0.662609669561159	0.657813665403584
male_bleached_K5_02	0.457841593842651	-0.645947992043881	-0.578851991565679	1	0.256858377322855	-0.625360427322812
male_bleached_K5_01	0.506529107324289	-0.771416507849031	-0.662609669561159	0.256858377322855	1	-0.793853369632211
female_bleached_K5_05	-0.760195259425418	0.90697650460226	0.657813665403584	-0.625360427322812	-0.793853369632211	1
