male_bleached_K5_03	female_bleached_K5_06	female_bleached_K5_04	male_bleached_K5_02	male_bleached_K5_01	female_bleached_K5_05
TRINITY_DN193830_c1_g1_i4	-2.86521518554573	0.741108589854508	3.30521066472678	-2.86521518554573	-2.86521518554573	4.54932630205591
TRINITY_DN178903_c2_g1_i2	-4.54504847738827	3.80376818302614	5.0672063294362	-4.54504847738827	-4.54504847738827	4.76417091970247
TRINITY_DN189706_c3_g1_i1	4.72325961938116	-4.27145586021391	-3.27796263915549	3.01443642179724	3.36246207588378	-3.55073961769278
TRINITY_DN193830_c1_g1_i8	-2.825628214359	3.99017862746695	3.33640497567348	-3.26604893511576	-3.26604893511576	2.03114248145009
TRINITY_DN194454_c6_g1_i5	-3.68360531824463	3.15906268948087	3.74996567162109	-3.31578100880964	-4.64633940884044	4.73669737479274
TRINITY_DN168774_c0_g1_i1	-4.40444007997751	4.01418732063925	4.3852756405466	-3.91914947820191	-4.34466940740374	4.26879600439733
TRINITY_DN193830_c1_g1_i2	-3.08979835238512	4.79218432948951	2.55278770681417	-3.08979835238512	-3.08979835238512	1.92442302085168
TRINITY_DN161045_c0_g1_i1	3.05219483560253	-4.57900405138708	-3.76260914221796	6.23274792537913	3.63567448401045	-4.57900405138708
