bleached_44_01	bleached_44_02	non-bleached_44_01	bleached_44_03	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	bleached_k4_01	bleached_k4_02	non-bleached_k4_03	bleached_k4_03
bleached_44_01	1	0.599177148233958	0.526418299841461	0.651293065193769	0.523167075596409	0.265259044258068	-0.642748531137221	-0.675778731003531	-0.638142924698715	-0.652981543245053	-0.658505775180186	-0.674719656212389
bleached_44_02	0.599177148233958	1	0.548822876573399	0.518110843041358	0.566867403953524	0.421657790109911	-0.630455397859727	-0.665924094032885	-0.63997802493601	-0.66354381988098	-0.645752040207089	-0.658429518134483
non-bleached_44_01	0.526418299841461	0.548822876573399	1	0.531097911729714	0.400844266682661	0.467780898707464	-0.597044601311611	-0.633901521390261	-0.613842254476854	-0.62682185884374	-0.569847406790336	-0.597953299884906
bleached_44_03	0.651293065193769	0.518110843041358	0.531097911729714	1	0.63566646785553	0.469298481061008	-0.693286114165127	-0.71470551401074	-0.66449813638974	-0.690742670132182	-0.682377977425256	-0.711156574674651
non-bleached_44_02	0.523167075596409	0.566867403953524	0.400844266682661	0.63566646785553	1	0.52393336551885	-0.64169402775278	-0.682540899579209	-0.657986313268104	-0.639734281186833	-0.663014644824066	-0.645551105812778
non-bleached_44_03	0.265259044258068	0.421657790109911	0.467780898707464	0.469298481061008	0.52393336551885	1	-0.538332521892458	-0.588341922597341	-0.570015252969976	-0.514659549401721	-0.609206367819834	-0.50970822417321
non-bleached_k4_01	-0.642748531137221	-0.630455397859727	-0.597044601311611	-0.693286114165127	-0.64169402775278	-0.538332521892458	1	0.678584323413405	0.592038489197713	0.63287387812927	0.613594997659692	0.535452049820399
non-bleached_k4_02	-0.675778731003531	-0.665924094032885	-0.633901521390261	-0.71470551401074	-0.682540899579209	-0.588341922597341	0.678584323413405	1	0.639103092380415	0.648043073850117	0.717288281545216	0.614256368250111
bleached_k4_01	-0.638142924698715	-0.63997802493601	-0.613842254476854	-0.66449813638974	-0.657986313268104	-0.570015252969976	0.592038489197713	0.639103092380415	1	0.591779982115935	0.614781039558921	0.61390721867946
bleached_k4_02	-0.652981543245053	-0.66354381988098	-0.62682185884374	-0.690742670132182	-0.639734281186833	-0.514659549401721	0.63287387812927	0.648043073850117	0.591779982115935	1	0.544148489128202	0.665663224001814
non-bleached_k4_03	-0.658505775180186	-0.645752040207089	-0.569847406790336	-0.682377977425256	-0.663014644824066	-0.609206367819834	0.613594997659692	0.717288281545216	0.614781039558921	0.544148489128202	1	0.642612877810345
bleached_k4_03	-0.674719656212389	-0.658429518134483	-0.597953299884906	-0.711156574674651	-0.645551105812778	-0.50970822417321	0.535452049820399	0.614256368250111	0.61390721867946	0.665663224001814	0.642612877810345	1
