b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
b_F_K5_04	1	0.652362445476186	0.932845282781631	-0.845643920056512	-0.899690809516156	-0.750013890297888
b_F_K5_05	0.652362445476186	1	0.538178437284382	-0.744408477094653	-0.755417543427102	-0.649311581902631
b_F_K5_06	0.932845282781631	0.538178437284382	1	-0.828599355635965	-0.826613107946769	-0.718554930650362
nb_F_K5_07	-0.845643920056512	-0.744408477094653	-0.828599355635965	1	0.777638817399055	0.52306260964047
nb_F_K5_08	-0.899690809516156	-0.755417543427102	-0.826613107946769	0.777638817399055	1	0.607161440376518
nb_F_K5_09	-0.750013890297888	-0.649311581902631	-0.718554930650362	0.52306260964047	0.607161440376518	1
