bleached_k4_01	bleached_44_01	bleached_k4_02	bleached_44_02	bleached_44_03	bleached_k4_03	non-bleached_k4_01	non-bleached_k4_02	non-bleached_44_01	non-bleached_k4_03	non-bleached_44_02	non-bleached_44_03
bleached_k4_01	1	0.124974249919809	0.413189492274927	0.733963608672364	0.458685297829705	0.605162477292161	-0.239483060430284	-0.302934742870398	-0.270839351083213	-0.156015738737211	-0.167257281816343	-0.417249548088087
bleached_44_01	0.124974249919809	1	0.186613958986296	0.11157607935054	0.158211616477331	0.288067033844864	0.0428054603211478	-0.29152130856561	-0.247768166330566	-0.128796984100763	-0.172978959174076	-0.149328481379647
bleached_k4_02	0.413189492274927	0.186613958986296	1	0.44323575161389	0.75027496997433	0.287639867371873	-0.129095092406888	-0.319704431152428	-0.286307085343839	-0.179021288925613	-0.226180904934106	-0.328259348134522
bleached_44_02	0.733963608672364	0.11157607935054	0.44323575161389	1	0.543957386509248	0.571166410250995	-0.274856316300003	-0.293156598912205	-0.234906861094642	-0.117323399464623	-0.27105218232504	-0.402036813278334
bleached_44_03	0.458685297829705	0.158211616477331	0.75027496997433	0.543957386509248	1	0.481484009879124	-0.161557442988634	-0.372960754806819	-0.341342034072524	-0.248876895164192	-0.282591323539231	-0.244523246707215
bleached_k4_03	0.605162477292161	0.288067033844864	0.287639867371873	0.571166410250995	0.481484009879124	1	0.0370605972354699	-0.499108899382155	-0.501288132385612	-0.355693221596054	-0.279935555205039	-0.0527472742058388
non-bleached_k4_01	-0.239483060430284	0.0428054603211478	-0.129095092406888	-0.274856316300003	-0.161557442988634	0.0370605972354699	1	-0.494277923676225	-0.388685861512055	-0.3285834665774	-0.287069148955863	0.457400056703728
non-bleached_k4_02	-0.302934742870398	-0.29152130856561	-0.319704431152428	-0.293156598912205	-0.372960754806819	-0.499108899382155	-0.494277923676225	1	0.651666050126763	0.155543771386013	0.0807145868075034	-0.335836451401152
non-bleached_44_01	-0.270839351083213	-0.247768166330566	-0.286307085343839	-0.234906861094642	-0.341342034072524	-0.501288132385612	-0.388685861512055	0.651666050126763	1	0.011943122539954	-0.0948027131730536	-0.321174277282853
non-bleached_k4_03	-0.156015738737211	-0.128796984100763	-0.179021288925613	-0.117323399464623	-0.248876895164192	-0.355693221596054	-0.3285834665774	0.155543771386013	0.011943122539954	1	0.317069023939395	-0.105391794836167
non-bleached_44_02	-0.167257281816343	-0.172978959174076	-0.226180904934106	-0.27105218232504	-0.282591323539231	-0.279935555205039	-0.287069148955863	0.0807145868075034	-0.0948027131730536	0.317069023939395	1	0.000226739275738165
non-bleached_44_03	-0.417249548088087	-0.149328481379647	-0.328259348134522	-0.402036813278334	-0.244523246707215	-0.0527472742058388	0.457400056703728	-0.335836451401152	-0.321174277282853	-0.105391794836167	0.000226739275738165	1
