group	lib.size	norm.factors	eff.lib.size
bleached_k4_01	991855	0.929219168325722	921650.678199709
bleached_44_01	995018	1.10452924933773	1099026.48461753
bleached_k4_02	989185	1.14627805843048	1133881.06122856
bleached_44_02	995282	0.948947013441808	944469.88143239
bleached_44_03	994298	1.01913795688086	1013326.83225073
bleached_k4_03	992631	1.02209107152697	1014559.28242089
non-bleached_k4_01	989165	1.10848907582583	1096478.59668926
non-bleached_k4_02	986086	0.735675800613986	725439.607524243
non-bleached_44_01	979727	0.767910470040696	752342.621081561
non-bleached_k4_03	990450	1.05220808302396	1042159.49583108
non-bleached_44_02	992624	1.18681014852484	1178056.23686932
non-bleached_44_03	987206	1.09961015714948	1085541.74479891
