bleached_44_01	bleached_44_02	non-bleached_44_01	bleached_44_03	non-bleached_44_02	non-bleached_44_03	non-bleached_k4_01	non-bleached_k4_02	bleached_k4_01	bleached_k4_02	non-bleached_k4_03	bleached_k4_03
TRINITY_GG_82629_c37_g1	-0.756729326762549	-0.756729326762549	-0.756729326762549	-0.756729326762549	-0.756729326762549	-0.756729326762549	2.46592069568893	0.562310488799987	0.544272929270266	0.592635950831665	1.13196522274699	-0.756729326762549
TRINITY_GG_13555_c122_g3	-0.344457551485328	-0.344457551485328	-0.344457551485328	-0.344457551485328	-0.344457551485328	-0.344457551485328	-0.115484981725168	0.907110069122919	0.637395101804412	0.502737635104067	0.0745419139459373	0.0604455706598024
TRINITY_GG_10969_c102_g1	0.412424337296323	2.52452415575648	0.904836259535628	-0.749140919100709	1.32433659057826	0.077865090538268	-0.749140919100709	-0.749140919100709	-0.749140919100709	-0.749140919100709	-0.749140919100709	-0.749140919100709
TRINITY_GG_13615_c78_g2	0.538077606480867	-0.663556254688784	0.238710314394287	1.10282688631251	1.52040658015381	1.24487239548	-0.663556254688784	-0.663556254688784	-0.663556254688784	-0.663556254688784	-0.663556254688784	-0.663556254688784
TRINITY_GG_57365_c0_g1	-0.735181216005917	-0.735181216005917	-0.735181216005917	-0.735181216005917	-0.735181216005917	-0.735181216005917	0.746117725541648	0.716887014217894	0.783857393594142	-0.735181216005917	1.85050245195889	1.04890392672884
TRINITY_GG_16287_c13_g3	0.108351154507767	1.22402002852591	-0.688246599540538	0.600997685616104	1.65345456438685	1.23090276374714	-0.688246599540538	-0.688246599540538	-0.688246599540538	-0.688246599540538	-0.688246599540538	-0.688246599540538
TRINITY_GG_81920_c32_g1	3.04574962754295	1.79849606475688	1.86512898358478	1.55123004518836	-0.0550755760969264	1.74916192993485	-1.75240459989065	-1.19266807545766	-1.75240459989065	-1.75240459989065	-1.75240459989065	-1.75240459989065
TRINITY_GG_16604_c19_g1	1.49267091773525	2.87900775126956	-1.16451174239318	-1.16451174239318	2.16331930935242	2.78109596078819	-1.16451174239318	-1.16451174239318	-1.16451174239318	-1.16451174239318	-1.16451174239318	-1.16451174239318
TRINITY_GG_7079_c13_g2	0.424375008888816	0.520928173379031	1.58480292779787	0.167472623666038	-0.622465245314157	1.65967798346734	-0.622465245314157	-0.622465245314157	-0.622465245314157	-0.622465245314157	-0.622465245314157	-0.622465245314157
TRINITY_GG_74007_c5_g1	-0.972952352790978	0.885824392517215	2.71612311675433	0.466936694828801	1.2698025692853	1.4719796961512	-0.972952352790978	-0.972952352790978	-0.972952352790978	-0.972952352790978	-0.972952352790978	-0.972952352790978
TRINITY_GG_7459_c11_g2	-0.669901969772921	-0.669901969772921	-0.669901969772921	-0.669901969772921	-0.669901969772921	-0.669901969772921	1.27120434117351	1.13415158919443	-0.669901969772921	-0.0154664289275215	1.41891806352566	0.880506223444359
TRINITY_GG_25540_c4_g1	1.75244376880899	1.2808403977008	-0.518883621974369	1.60802288257096	1.12386401583332	0.654903597034154	-1.12099574562906	-0.931318899435991	-1.26249431115001	-0.615833956121024	-0.978404035505732	-0.992144092132034
TRINITY_GG_23319_c1_g1	-0.654112601632764	-0.654112601632764	-0.654112601632764	-0.654112601632764	-0.654112601632764	-0.654112601632764	-0.0283745397241162	0.807415957840113	0.654481266951512	0.795316712470435	1.07315440910215	0.622681803156495
TRINITY_GG_41572_c0_g1	-0.674779112769832	-0.674779112769832	-0.674779112769832	-0.674779112769832	-0.674779112769832	-0.674779112769832	1.43056372751639	0.338861797899554	1.89519798055474	0.659789162896301	0.399041120521839	-0.674779112769832
TRINITY_GG_74452_c0_g1	0.999197284879569	-0.8910548302775	0.229297110087722	3.35504917960642	0.216633039036874	1.43720719833191	-0.8910548302775	-0.8910548302775	-0.8910548302775	-0.8910548302775	-0.8910548302775	-0.8910548302775
TRINITY_GG_17118_c19_g1	-0.603857228337155	-0.603857228337155	-0.603857228337155	-0.603857228337155	-0.603857228337155	-0.603857228337155	0.764631772307948	1.55738553000536	0.684796635268014	-0.603857228337155	-0.170897821061049	1.39108448183982
TRINITY_GG_33015_c1_g2	1.08071652098644	1.20315953603421	1.02958675757675	0.98507849643724	0.11382329474478	-0.63033780082563	-0.63033780082563	-0.63033780082563	-0.63033780082563	-0.63033780082563	-0.63033780082563	-0.63033780082563
TRINITY_GG_100415_c82_g1	-0.73085065689322	-0.73085065689322	-0.73085065689322	-0.73085065689322	-0.73085065689322	-0.73085065689322	1.43361384249538	0.276344844510984	1.24404570686879	1.67867605591776	0.483274148459627	-0.73085065689322
TRINITY_GG_28912_c0_g1	-0.510808313231283	-0.458189802061846	-0.509398742976611	-0.543614458314524	-0.543614458314524	-0.543614458314524	0.859653264024777	0.829894557203483	-0.463639081593928	0.924186698173883	-0.156251917478529	1.11539671288363
