bleached_44_02	bleached_K5_03	bleached_K5_01	non-bleached_K5_01	non-bleached_44_03	bleached_K5_05	bleached_K5_02	non-bleached_44_02	non-bleached_44_01	bleached_44_03	bleached_K5_04	non-bleached_K5_02	non-bleached_K5_03	bleached_K5_06	bleached_44_01
bleached_44_02	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
bleached_K5_03	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
bleached_K5_01	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
non-bleached_K5_01	0.450677133343319	0.450677133343319	0.450677133343319	1	-0.94524013562726	0.450677133343319	0.450677133343319	0.983499818650706	0.673996849016417	0.481643340010149	0.450677133343319	-0.929345524437941	-0.578060685028371	0.450677133343319	0.450677133343319
non-bleached_44_03	-0.717349450943088	-0.717349450943088	-0.717349450943088	-0.94524013562726	1	-0.717349450943088	-0.717349450943088	-0.988687836753053	-0.878193758007858	-0.741293600555387	-0.717349450943088	0.998956240691458	0.8127266861055	-0.717349450943088	-0.717349450943088
bleached_K5_05	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
bleached_K5_02	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
non-bleached_44_02	0.604736095359977	0.604736095359977	0.604736095359977	0.983499818650706	-0.988687836753053	0.604736095359977	0.604736095359977	1	0.796519530303364	0.632238972371143	0.604736095359977	-0.980804821559069	-0.716143288320447	0.604736095359977	0.604736095359977
non-bleached_44_01	0.963213419451865	0.963213419451865	0.963213419451865	0.673996849016417	-0.878193758007858	0.963213419451865	0.963213419451865	0.796519530303364	1	0.972028627595379	0.963213419451865	-0.899124888891026	-0.992413606615675	0.963213419451865	0.963213419451865
bleached_44_03	0.999387380790552	0.999387380790552	0.999387380790552	0.481643340010149	-0.741293600555387	0.999387380790552	0.999387380790552	0.632238972371143	0.972028627595379	1	0.999387380790552	-0.771177698493771	-0.993529364990907	0.999387380790552	0.999387380790552
bleached_K5_04	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
non-bleached_K5_02	-0.748424806995547	-0.748424806995547	-0.748424806995547	-0.929345524437941	0.998956240691458	-0.748424806995547	-0.748424806995547	-0.980804821559069	-0.899124888891026	-0.771177698493771	-0.748424806995547	1	0.838492136687361	-0.748424806995547	-0.748424806995547
non-bleached_K5_03	-0.988945788384885	-0.988945788384885	-0.988945788384885	-0.578060685028371	0.8127266861055	-0.988945788384885	-0.988945788384885	-0.716143288320447	-0.992413606615675	-0.993529364990907	-0.988945788384885	0.838492136687361	1	-0.988945788384885	-0.988945788384885
bleached_K5_06	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
bleached_44_01	1	1	1	0.450677133343319	-0.717349450943088	1	1	0.604736095359977	0.963213419451865	0.999387380790552	1	-0.748424806995547	-0.988945788384885	1	1
