B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03
B_female_44_01	1	0.788785967610726	0.769594180728333	-0.837271780956205	-0.813698414897122	-0.438530630019315
B_female_44_02	0.788785967610726	1	0.852365664098626	-0.858799967114403	-0.820715851440339	-0.492261759417519
B_female_44_03	0.769594180728333	0.852365664098626	1	-0.856793813415938	-0.816966307159417	-0.48995825670091
NB_female_44_01	-0.837271780956205	-0.858799967114403	-0.856793813415938	1	0.786986243249228	0.289062700783977
NB_female_44_02	-0.813698414897122	-0.820715851440339	-0.816966307159417	0.786986243249228	1	0.100089169115354
NB_female_44_03	-0.438530630019315	-0.492261759417519	-0.48995825670091	0.289062700783977	0.100089169115354	1
