b_F_K5_04	b_F_K5_05	b_F_K5_06	nb_F_K5_07	nb_F_K5_08	nb_F_K5_09
b_F_K5_04	1	0.834067041144735	0.785724303119377	-0.825145993319082	-0.832581474606177	-0.833506750270142
b_F_K5_05	0.834067041144735	1	0.855887217590146	-0.844342991438366	-0.855166799668742	-0.867870437031806
b_F_K5_06	0.785724303119377	0.855887217590146	1	-0.834399641281033	-0.844343056973981	-0.839697304926897
nb_F_K5_07	-0.825145993319082	-0.844342991438366	-0.834399641281033	1	0.68661242924812	0.712652579574773
nb_F_K5_08	-0.832581474606177	-0.855166799668742	-0.844343056973981	0.68661242924812	1	0.711685215915522
nb_F_K5_09	-0.833506750270142	-0.867870437031806	-0.839697304926897	0.712652579574773	0.711685215915522	1
