B_female_44_01	B_female_44_02	B_female_44_03	NB_female_44_01	NB_female_44_02	NB_female_44_03	B_female_K5_01	B_female_K5_02	B_female_K5_03	B_male_K5_01	B_male_K5_02	B_male_K5_03	NB_female_K5_01	NB_female_K5_02	NB_female_K5_03
TRINITY_DN166638_c3_g2	-1.44156053257445	-0.901423231096891	-1.17301965043411	7.82919037687237	6.02835749720332	-1.13349128624747	-0.583484419923128	-1.20895846844873	-0.390744230727714	-1.36631916025023	-1.13683731412746	-0.601092484578342	-1.19959788384502	-1.31488073345854	-1.40613847836361
TRINITY_DN183482_c4_g1	-0.892414804942653	-0.659116173593682	7.10767195961536	-0.150128061209251	-1.04701167468319	4.90293128069085	-0.867094058882842	-0.955989939338049	-1.11795741900144	-1.09094227755865	-1.14152283471863	-1.26981623572845	-1.14548810072624	-0.627345698412625	-1.04577596151052
TRINITY_DN182714_c7_g1	1.26299194947062	0.865225429995645	1.02065804649699	0.909919319150571	0.386533669176082	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991	-0.444532841428991
TRINITY_DN166018_c9_g2	-1.27044673416595	-1.27044673416595	-1.27044673416595	-1.27044673416595	-1.27044673416595	-1.27044673416595	-0.626128955828373	2.02762500076805	1.82429604822061	0.709212817549874	1.359026462621	-1.27044673416595	-1.27044673416595	2.60356327137452	2.26597922862193
TRINITY_DN131190_c0_g1	-0.438710260469428	1.14625224025173	1.26704652158037	1.68561787453277	0.118086986123315	0.170098982206096	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428	-0.438710260469428
TRINITY_DN191132_c2_g1	-1.03552135257582	-1.70362789471176	8.16209973682578	1.23359834993514	-1.74093645801694	8.44995231491806	-2.06800303537779	-0.228119128266015	-1.85609875019086	-1.93419873170816	-1.36891859684871	-1.60795580118138	-1.65958458265981	-0.868432061963601	-1.77425400817815
TRINITY_DN164454_c6_g1	1.36213036550972	6.3097852017977	0.420443662381345	0.541047214968004	-0.983679011950993	0.407649070281819	-0.794122492046749	-1.82291337072758	-1.44303538244427	-1.19881553339378	-0.94097330682886	-0.333875290004956	-2.25111473084945	0.524105705122616	0.203367898185433
TRINITY_DN181436_c5_g3	0.171635588145053	-0.419086181864788	1.77846472555509	1.49777258283497	0.132798921606936	0.610190000505844	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788	-0.419086181864788
TRINITY_DN189319_c2_g2	3.09534600977842	1.96266784013037	-0.844068651522296	2.70707818581431	-0.844068651522296	1.51966313102215	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296	-0.844068651522296
TRINITY_DN6001_c0_g1	1.6450167137327	1.20161473372186	0.127369979468685	0.234633989034943	1.14436305038199	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017	-0.435299846634017
TRINITY_DN239945_c0_g1	0.216342044678051	0.354895819656767	0.544804269742495	1.03220199208386	0.177295140546237	0.974720945360109	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613	-0.366695579118613
TRINITY_DN179637_c2_g3	-0.0560015192065473	4.00932483134461	-1.22797815754568	-1.65873611494629	0.636116479415293	7.07632201846102	-1.0693100237977	-0.357649883920694	-0.541933094056525	0.277362134768463	-0.710423181985379	-0.988829976829434	-1.42978970145968	-1.80797440537349	-2.15049940486796
TRINITY_DN176227_c3_g1	0.513193682226666	0.0658039507396732	0.510906714708042	0.990654922622841	0.220297670683128	1.37332689623634	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632	-0.408242648579632
TRINITY_DN197065_c3_g1	-0.505162692660665	-1.66987306392797	8.74766632119754	0.332753709196898	-1.15980038702687	6.09699059159733	-1.56391423726948	-0.255194131829024	-1.61270131067566	-1.39083407865732	-1.36351688360289	-1.50644262328511	-1.11550798840547	-1.50218059643095	-1.53228262822037
TRINITY_DN167014_c6_g1	-3.18102804647612	-2.11826747675856	-1.41097245923314	-1.14645702231168	-1.95032897482583	-2.2454234731127	1.11821329396636	1.22708627155992	0.562976375384276	1.97198425969796	1.57403222836393	2.26626569726818	1.03568840926661	0.339437397159267	1.95679352005151
TRINITY_DN174932_c7_g1	0.234168003004963	0.523855760892118	0.697940733365731	1.19937828375293	0.0449348975812864	-0.00123528385163957	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155	-0.299893599416155
TRINITY_DN169918_c4_g1	-0.795893968858585	-0.917200265080718	7.56215455068788	0.124232453906628	-1.33465029843495	5.92017078674374	-1.22877027397512	-0.987589592972116	-1.01925626925065	-1.33344352710496	-1.44761454702427	-1.42945088032667	-1.36391984080185	-0.401994469990927	-1.34677385751744
TRINITY_DN199629_c5_g2	-0.340628733083506	-0.624876525759295	7.5138525490425	-0.573167469112307	-1.08038619080291	2.72130194585076	-1.15322283911306	-1.19295533418661	-0.32882322042375	-1.10623321022979	-0.856497456411791	-1.00994141622572	-0.956602971005323	-1.25731457998299	0.245495451443785
TRINITY_DN164610_c2_g1	0.659102337210111	0.851651334766145	0.0829519700982533	0.152304153626064	0.369851903100393	0.128075117827118	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676	-0.249326312958676
TRINITY_DN186904_c1_g1	-1.33160129385227	-1.20065719383287	-0.898567595526384	-1.28252082967573	-1.13597828633795	-2.10307683348963	0.766038664203069	-0.153108564074575	1.16434201753847	2.67454263442346	1.46857181786785	0.60745353776998	0.891300475018192	0.0648176327253118	0.468443817243072
TRINITY_DN67001_c0_g1	1.16152826723607	0.784528315252372	0.498115951341952	0.980890967933202	-0.402605976222163	0.600996260458032	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163	-0.402605976222163
